particles,iterations,w,c1,c2,min_w,min_c1,min_c2
640,40,5.5,5.4,6.1,3.9,1.6,0.4
640,350,2.3,3.0,5.1,1.5,2.8,2.0
640,90,5.9,0.2,6.3,1.5,0.1,1.8
640,310,4.5,4.5,10.0,2.7,3.9,5.4
640,20,8.4,2.3,2.8,2.8,1.2,2.7
640,260,1.2,5.5,3.7,0.4,2.3,1.3
640,30,6.5,8.5,8.5,3.3,1.8,2.4
640,320,3.8,9.8,4.5,2.6,3.2,0.9
640,170,9.5,1.3,5.0,5.6,0.4,0.9
640,110,4.9,7.7,9.1,3.6,4.3,5.3
640,370,9.7,1.4,9.0,4.1,0.6,9.0
640,70,1.1,5.4,7.6,0.5,1.6,6.2
640,310,3.6,8.8,3.6,2.5,2.1,1.8
640,210,9.2,3.2,3.2,3.7,2.4,2.1
640,220,8.3,1.0,2.3,3.8,0.4,0.9
640,30,2.2,10.0,3.2,1.9,1.8,1.5
640,140,0.7,9.3,3.6,0.3,7.4,3.1
640,60,2.2,4.0,5.4,0.7,1.9,2.2
640,340,0.3,6.5,7.9,0.0,5.9,2.7
640,270,2.8,5.3,4.2,1.2,1.6,2.6
640,130,8.9,7.8,3.3,1.2,2.8,1.1
640,30,2.1,1.9,5.8,0.4,1.8,3.1
640,310,0.5,5.2,3.8,0.4,3.0,1.5
640,80,1.4,0.5,6.5,1.2,0.3,4.5
640,190,1.8,9.8,0.9,1.4,0.9,0.8
640,120,2.5,5.1,0.1,1.1,0.6,0.1
640,180,4.4,1.7,4.9,4.1,1.2,0.3
640,260,5.6,7.6,7.9,4.3,3.8,2.6
640,140,9.1,6.1,7.5,8.9,1.7,1.2
640,270,7.1,2.0,0.7,0.6,0.0,0.7
640,50,8.8,4.6,3.3,4.8,1.0,2.9
640,70,4.2,9.7,2.7,0.6,3.4,1.7
640,140,3.6,8.9,1.1,3.5,3.9,0.9
640,300,2.9,3.7,9.9,2.7,0.6,0.2
640,10,5.2,4.4,4.7,0.3,3.2,2.5
640,10,3.5,1.7,9.0,1.3,0.4,4.0
640,110,3.3,2.8,5.2,3.0,0.3,0.4
640,170,6.7,8.3,8.4,3.7,6.0,1.0
640,370,0.9,3.0,8.6,0.5,1.9,1.8
640,60,9.2,7.3,1.7,0.7,2.4,0.0
640,290,6.8,9.2,9.6,1.3,5.5,9.2
640,240,7.5,7.9,1.4,2.6,0.8,0.7
640,290,7.9,4.5,9.5,1.9,1.8,7.7
640,40,5.1,9.0,7.6,3.8,0.1,2.2
640,70,0.1,6.8,9.4,0.0,5.8,1.4
640,220,8.2,1.8,8.2,7.3,1.8,2.5
640,360,4.0,2.4,1.2,3.6,1.9,1.1
640,350,8.7,2.2,4.4,6.5,0.2,4.3
640,330,2.6,9.1,4.6,1.3,3.5,1.4
640,80,10.0,1.1,1.6,4.3,0.0,1.2
