particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
2560,350,3.9,0.5,4.2,2.7,0.3,3.3,6.9,0.52
2560,150,6.0,0.5,3.1,3.5,0.4,1.5,3.7,0.65
2560,250,2.2,8.9,1.1,2.0,2.9,0.4,4.7,0.70
2560,100,8.8,4.5,9.2,3.6,0.0,3.4,3.5,0.99
2560,350,7.5,7.7,4.0,6.1,2.0,2.8,1.2,0.97
2560,400,8.9,4.3,2.4,0.9,3.3,0.9,9.8,0.54
2560,150,7.7,4.9,5.4,7.5,1.8,2.7,1.0,0.62
2560,50,8.1,2.6,7.5,2.2,1.3,0.7,6.8,0.94
2560,50,6.6,8.5,4.1,3.7,2.5,2.3,1.3,1.00
2560,200,5.6,3.8,8.0,0.3,2.3,4.2,3.1,0.64
2560,400,9.2,3.4,9.8,7.8,0.8,8.4,1.2,0.69
2560,150,7.3,9.1,6.8,6.1,5.4,5.1,1.6,0.88
2560,300,3.9,8.2,0.5,2.1,8.1,0.1,8.5,0.53
2560,400,5.0,5.7,2.6,1.3,4.9,0.8,9.9,0.80
2560,300,1.2,1.2,0.8,0.9,0.8,0.5,9.0,0.76
2560,150,0.7,7.1,1.8,0.6,1.7,0.4,0.5,0.62
2560,350,1.3,6.9,6.7,0.4,0.8,1.4,5.1,0.86
2560,200,0.6,6.5,0.6,0.4,0.5,0.1,8.3,0.57
2560,100,1.1,3.1,4.4,0.2,1.3,3.9,9.7,0.65
2560,450,1.8,7.6,2.0,0.3,6.9,1.3,3.8,0.80
2560,200,1.7,3.9,0.3,0.6,1.0,0.0,4.2,0.59
2560,50,9.5,8.6,1.7,0.9,7.5,0.8,2.9,0.70
2560,250,4.7,6.6,7.1,1.3,0.2,0.6,1.7,0.71
2560,450,3.0,6.8,8.5,0.6,3.5,6.1,8.6,0.83
2560,300,8.2,9.3,1.9,5.1,1.9,0.2,4.9,0.94
2560,450,7.6,4.9,0.1,2.5,4.4,0.1,5.3,0.82
2560,100,8.1,0.7,8.1,1.8,0.6,3.3,0.7,0.58
2560,350,9.7,4.8,7.3,0.3,0.7,1.5,5.3,0.56
2560,150,0.8,9.9,6.3,0.5,3.5,1.0,4.8,0.57
2560,200,0.5,1.3,0.2,0.2,0.5,0.0,1.7,0.77
2560,100,6.8,2.2,6.1,5.9,1.3,2.5,8.0,0.98
2560,400,1.6,0.6,5.8,1.6,0.1,0.7,5.8,0.66
2560,150,0.4,9.9,4.9,0.1,0.1,0.2,3.7,0.83
2560,400,1.9,3.6,1.2,1.3,1.1,0.1,1.8,0.77
2560,300,4.7,4.7,0.9,3.6,1.9,0.2,8.2,0.99
2560,250,7.9,9.2,2.9,0.4,2.8,1.5,1.9,0.76
2560,200,7.9,3.6,3.3,6.9,1.2,1.6,7.9,0.89
2560,300,9.6,1.5,3.7,1.7,0.2,3.0,9.6,0.66
2560,150,3.1,0.4,2.3,0.7,0.4,2.2,3.4,0.78
2560,250,9.2,8.5,7.2,4.4,5.5,6.1,7.2,0.71
2560,350,1.5,4.5,1.5,0.9,3.4,1.0,2.7,0.95
2560,450,2.6,1.9,9.4,1.3,1.5,4.2,9.2,0.73
2560,300,5.6,0.9,7.7,4.2,0.0,7.1,7.1,0.91
2560,100,4.8,7.4,3.5,2.1,4.0,1.3,6.3,0.57
2560,400,5.0,5.3,7.6,1.1,0.3,6.3,2.3,0.85
2560,250,5.2,9.7,5.1,4.1,1.6,2.4,6.3,0.75
2560,100,2.9,3.2,8.5,1.9,0.4,5.8,3.5,0.99
2560,200,2.4,4.2,9.7,1.5,3.2,3.4,6.1,0.91
2560,150,1.1,1.7,7.4,0.2,1.6,6.9,0.3,0.79
2560,50,8.4,2.5,7.6,1.7,2.3,5.9,4.1,0.72
