particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1920,350,8.5,7.9,9.7,1.4,6.9,8.6,9.1,0.58
1920,200,8.8,2.1,2.7,5.4,1.9,0.2,2.0,0.90
1920,500,2.8,9.0,7.7,2.6,0.5,0.8,8.3,0.79
1920,500,8.5,7.4,6.7,7.2,0.1,1.8,2.2,0.71
1920,450,5.7,0.4,9.1,0.9,0.2,6.5,1.7,0.67
1920,350,2.1,3.5,3.9,1.7,0.8,3.1,4.9,0.57
1920,500,2.3,3.3,2.9,0.7,2.8,1.4,3.1,0.81
1920,300,6.5,9.3,4.3,3.2,8.3,1.1,9.5,0.69
1920,350,6.3,3.3,4.3,5.8,1.2,1.7,8.3,1.00
1920,250,1.5,4.0,4.0,1.2,3.2,1.7,3.2,0.81
1920,300,2.1,5.7,6.2,0.3,4.2,0.9,6.1,0.64
1920,150,8.0,4.2,0.9,4.3,2.9,0.6,9.9,0.89
1920,200,5.3,5.2,8.5,4.6,0.3,6.1,3.2,0.97
1920,450,3.9,5.8,9.0,0.7,4.9,3.3,4.6,0.80
1920,50,6.6,3.7,5.7,2.5,1.5,5.5,3.9,0.53
1920,200,2.9,1.6,1.4,0.3,0.9,1.0,2.8,0.61
1920,50,3.0,9.6,2.0,0.0,0.1,1.3,4.1,0.78
1920,300,6.9,3.6,1.8,1.8,0.4,1.8,6.9,0.76
1920,550,5.1,0.4,5.0,1.7,0.2,2.6,5.1,0.51
1920,100,3.8,0.2,6.9,3.2,0.2,0.1,1.2,0.72
1920,150,7.7,9.1,8.6,0.3,1.7,1.7,0.7,0.62
1920,250,4.1,6.2,8.4,3.9,1.8,2.6,8.6,0.73
1920,550,0.1,1.1,4.5,0.1,0.8,0.2,6.7,0.94
1920,50,0.6,7.7,6.6,0.4,1.3,4.9,0.9,0.52
1920,50,4.6,7.8,0.4,0.7,0.7,0.3,8.7,0.92
2560,50,5.5,2.7,9.1,0.2,1.1,2.8,9.1,0.63
2560,400,4.6,2.3,1.5,1.5,1.9,1.1,6.7,0.76
2560,300,4.2,9.0,9.4,4.0,4.1,7.6,0.9,0.69
2560,150,0.2,2.9,1.0,0.0,2.8,0.3,7.5,0.67
2560,450,3.4,8.0,4.6,3.2,0.5,0.3,4.0,0.85
2560,300,8.6,5.4,4.3,3.5,3.9,3.3,2.6,0.87
2560,450,3.5,3.7,1.3,2.7,2.9,0.2,9.9,0.97
2560,350,3.4,6.2,6.7,0.5,1.7,2.0,0.5,0.74
2560,200,2.3,1.8,6.3,0.2,0.8,6.1,7.8,0.73
2560,50,6.7,6.9,4.3,4.1,3.7,3.8,0.7,0.84
2560,50,10.0,5.2,1.6,8.2,2.5,0.5,9.4,0.60
2560,400,1.5,7.4,0.7,0.2,4.3,0.5,8.1,0.83
2560,350,2.1,1.3,0.4,2.1,0.4,0.1,3.1,0.53
2560,350,7.7,7.0,2.7,2.9,0.6,1.6,2.2,0.96
2560,350,4.9,0.3,5.9,3.2,0.3,5.0,5.4,0.51
2560,150,8.9,6.3,3.5,6.5,1.1,0.1,8.7,0.72
2560,350,6.4,5.6,5.6,2.8,5.5,4.0,5.2,0.81
2560,200,9.3,4.7,7.9,3.7,3.0,1.5,7.3,0.86
2560,250,1.4,0.8,5.5,1.2,0.7,0.2,7.3,0.90
2560,100,2.7,8.4,6.8,1.9,3.5,3.7,6.6,0.52
2560,300,0.3,2.7,8.1,0.2,2.7,6.2,8.3,0.93
2560,50,7.2,3.3,8.7,2.8,2.5,8.3,5.1,0.92
2560,250,6.3,1.6,2.8,0.4,0.6,0.9,2.4,0.68
2560,100,3.1,3.1,1.4,0.0,1.5,0.3,4.4,0.74
2560,350,6.5,0.7,6.4,3.7,0.2,1.2,1.4,0.60
