particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
4480,150,7.5,9.3,6.2,0.5,0.9,1.0,5.9,0.54
4480,200,5.1,5.0,1.9,1.9,0.3,0.2,8.9,0.56
4480,150,1.2,9.5,6.3,1.0,4.4,5.7,4.5,0.92
4480,50,6.1,1.9,8.6,1.0,1.0,7.1,1.1,0.87
4480,100,8.6,2.4,6.6,2.6,0.2,1.8,5.0,0.81
4480,100,1.1,3.2,7.6,0.5,2.3,3.7,9.0,0.76
4480,200,4.2,10.0,3.1,3.4,0.4,0.5,0.5,0.89
4480,50,9.0,6.8,0.4,0.7,2.9,0.1,7.7,0.53
4480,200,8.3,9.8,0.9,2.6,1.2,0.6,1.3,0.51
4480,100,6.5,6.5,1.0,6.0,0.1,0.7,8.6,0.87
4480,50,3.8,8.2,9.0,2.5,1.2,4.2,2.1,0.71
4480,100,3.6,0.7,0.8,1.1,0.1,0.7,1.8,0.70
4480,100,5.9,2.1,7.1,3.8,1.2,6.0,5.5,0.52
4480,150,7.6,6.2,3.0,1.5,2.2,1.2,4.7,0.68
4480,50,5.2,5.2,8.2,0.7,5.2,0.1,6.6,0.57
4480,50,2.0,3.9,2.3,1.1,0.7,0.8,8.0,0.71
4480,100,4.9,2.0,0.4,3.8,1.9,0.1,1.9,0.91
4480,50,0.9,6.3,7.9,0.5,5.9,6.0,7.9,0.95
4480,150,4.8,6.2,9.2,2.4,1.2,3.8,4.8,0.84
4480,150,1.7,8.6,4.2,1.4,8.1,1.7,6.0,0.97
4480,150,0.7,1.5,0.9,0.1,1.4,0.4,8.8,0.76
4480,200,7.0,2.6,8.4,4.5,0.6,6.3,5.2,0.97
4480,50,6.6,1.6,7.9,0.5,1.4,1.7,6.5,0.81
4480,50,0.1,5.1,5.2,0.0,0.6,4.5,0.2,0.53
4480,150,3.1,9.6,3.4,1.1,7.3,3.2,1.4,0.50
5120,150,5.7,4.9,4.5,3.6,2.4,3.7,9.3,0.67
5120,100,8.5,3.3,4.7,6.4,1.4,2.4,4.4,0.84
5120,50,4.1,1.5,0.8,1.7,1.1,0.4,3.1,0.74
5120,100,1.5,3.0,8.4,1.2,0.4,5.0,6.6,0.95
5120,150,2.7,6.5,3.7,1.0,2.4,0.5,5.4,0.98
5120,100,9.9,0.2,9.0,7.9,0.1,4.2,5.7,0.56
5120,50,8.0,0.4,6.6,1.3,0.2,0.3,1.2,0.60
5120,50,6.6,2.8,7.8,1.8,2.4,1.7,1.1,0.88
5120,150,5.9,5.1,9.1,4.5,1.9,5.9,4.1,0.92
5120,100,5.6,3.8,6.3,0.3,0.1,1.0,9.3,0.73
5120,100,0.7,8.6,2.6,0.5,2.5,1.8,1.8,0.89
5120,150,8.4,6.7,8.0,3.3,4.8,0.1,2.6,0.76
5120,100,2.1,9.3,9.7,0.2,1.8,8.0,1.5,0.87
5120,100,3.2,2.6,7.3,0.6,2.5,1.3,4.6,0.74
5120,50,9.2,2.0,8.8,7.0,0.5,5.9,2.3,0.67
5120,50,2.2,9.0,3.4,1.1,7.3,0.2,2.5,0.79
5120,50,0.6,3.8,1.2,0.1,3.2,0.8,5.1,0.57
5120,150,1.1,8.9,4.2,0.3,6.9,3.9,9.9,0.66
5120,100,4.9,0.3,1.1,1.5,0.1,0.6,3.5,0.51
5120,100,4.4,4.6,7.0,2.4,0.6,5.4,0.4,0.95
5120,100,1.2,8.3,8.3,0.2,5.1,4.8,3.1,0.70
5120,100,3.9,8.1,6.5,0.5,5.4,5.4,0.7,0.55
5120,150,6.1,3.5,9.5,5.4,1.2,0.9,8.9,0.91
5120,100,5.3,9.7,2.0,1.3,4.6,1.8,4.9,0.58
5120,150,1.7,2.3,8.0,1.2,0.5,7.6,8.8,0.90
