particles,iterations,w,c1,c2,min_w,min_c1,min_c2
3200,10,5.9,0.4,0.7,1.6,0.1,0.3
3200,20,8.0,0.7,5.2,2.4,0.1,0.3
3200,30,5.3,9.3,1.9,1.4,8.5,1.7
3200,40,5.9,7.6,2.4,0.2,2.2,0.2
3200,30,8.4,5.3,1.8,7.4,5.2,0.1
3200,50,6.1,9.6,5.6,2.3,8.1,2.3
3200,40,3.2,6.9,8.7,1.7,3.6,0.4
3200,30,6.3,7.1,3.8,1.0,3.7,1.2
3200,20,6.4,0.4,3.7,6.2,0.1,1.2
3200,10,6.9,7.3,3.0,5.2,4.3,2.0
3200,10,3.5,1.0,3.2,2.4,0.2,3.0
3200,50,3.4,5.1,7.2,1.9,3.3,3.5
3200,50,5.7,9.4,7.7,4.7,3.9,7.7
3200,40,1.1,7.8,6.0,0.0,3.7,4.7
3200,20,9.0,4.0,1.1,3.8,2.5,0.8
3200,10,9.1,9.1,7.2,9.0,1.0,1.7
3200,30,0.1,0.2,0.9,0.1,0.1,0.4
3200,30,6.3,5.0,2.6,0.7,2.7,0.5
3200,10,8.1,8.9,6.2,5.1,7.7,1.5
3200,50,9.6,1.3,4.7,4.8,0.3,1.2
3200,30,0.9,1.8,8.4,0.7,1.1,1.6
3200,20,6.0,8.8,8.2,0.5,6.8,3.7
3200,30,4.5,2.1,3.7,4.1,2.0,3.4
3200,40,0.8,3.3,7.3,0.5,2.0,7.1
3200,50,1.8,2.4,2.1,0.1,2.3,1.7
3200,20,4.4,9.9,7.9,0.1,7.1,6.1
3200,50,0.8,6.6,4.8,0.3,3.2,1.4
3200,40,4.2,2.7,0.6,1.0,0.3,0.5
3200,20,6.6,1.0,10.0,6.3,0.9,2.0
3200,40,3.7,6.3,3.1,1.8,3.5,2.1
3200,10,1.9,8.3,2.3,0.9,8.3,0.5
3200,20,6.1,8.0,6.2,4.0,6.4,5.2
3200,10,2.5,7.4,1.3,1.4,0.4,0.6
3200,10,2.3,6.8,3.6,1.0,0.2,2.3
3840,30,1.7,6.4,1.5,0.8,2.2,1.1
3840,20,7.4,0.9,0.5,7.2,0.6,0.0
3840,10,9.7,5.2,1.7,4.1,2.3,1.5
3840,10,2.2,5.6,5.8,0.8,3.7,1.2
3840,20,9.5,3.9,4.6,5.3,2.7,1.7
3840,40,4.3,3.5,2.2,1.2,3.2,1.8
3840,20,9.4,0.9,6.1,7.2,0.7,5.2
3840,30,7.8,3.5,8.0,1.4,1.9,5.2
3840,40,2.9,3.9,8.3,0.5,1.2,5.9
3840,40,0.7,1.0,3.7,0.1,0.8,0.5
3840,10,2.6,9.3,5.3,2.1,5.4,2.6
3840,20,4.5,4.7,5.2,3.4,0.3,3.8
3840,30,7.2,8.1,4.7,2.3,6.0,2.1
3840,40,6.0,8.5,6.8,1.9,7.0,3.6
3840,10,3.0,6.2,5.8,0.7,2.4,4.0
3840,10,7.5,7.4,5.3,6.9,6.7,1.0
