particles,iterations,w,c1,c2,min_w,min_c1,min_c2
1280,30,3.0,4.7,5.3,1.2,1.6,2.9
1280,20,3.6,9.6,2.2,0.6,0.1,1.7
1280,20,6.6,4.6,1.0,0.7,1.7,0.6
1280,10,5.1,9.7,6.1,3.7,1.7,2.5
1280,90,3.9,8.7,1.9,3.3,0.6,1.1
1280,140,4.5,8.3,3.0,2.0,0.1,0.6
1280,130,9.6,4.7,0.5,3.9,3.7,0.2
1280,80,7.0,6.5,2.8,1.7,3.7,2.1
1280,80,10.0,7.4,7.4,6.3,3.6,6.8
1280,30,4.0,5.7,3.3,0.0,1.8,0.7
1280,160,9.7,5.6,7.8,0.8,1.6,3.0
1280,50,1.0,7.0,7.9,0.7,2.6,0.2
1280,180,1.7,5.5,2.4,0.4,0.6,0.2
1280,70,2.2,5.6,5.6,0.0,4.5,0.7
1280,40,1.7,0.2,0.6,0.2,0.1,0.1
1280,160,1.4,3.5,5.0,0.4,3.2,2.7
1280,20,7.5,1.7,4.0,4.2,1.6,1.8
1280,100,8.0,4.2,8.8,2.9,3.9,0.4
1280,10,2.8,7.3,2.0,1.7,5.3,0.1
1280,80,8.1,7.4,6.9,3.6,3.9,5.9
1280,140,5.7,6.8,2.7,2.1,5.6,1.1
1280,30,4.7,5.3,0.8,1.6,2.3,0.5
1280,40,1.4,8.6,1.6,0.1,3.6,0.8
1280,180,2.4,0.8,7.2,0.5,0.2,0.4
1280,150,2.1,3.3,9.4,0.4,1.3,4.5
1280,90,9.4,2.7,6.2,7.8,2.4,3.8
1280,60,8.3,6.3,4.9,2.5,4.8,3.3
1280,170,7.3,9.3,8.2,6.6,6.6,0.6
1280,60,0.9,9.1,9.3,0.8,1.1,8.7
1280,140,5.1,7.1,0.8,0.6,1.1,0.8
1280,70,8.5,2.9,4.6,4.5,2.9,0.7
1280,120,6.2,4.2,7.5,5.6,4.1,5.9
1280,150,0.3,5.8,3.6,0.0,2.3,1.9
1280,170,5.5,9.0,4.2,2.7,4.6,3.3
1280,110,4.6,5.7,8.9,1.9,5.0,8.0
1280,10,5.7,2.0,4.7,4.5,1.6,2.8
1280,30,6.6,1.9,6.9,0.0,0.1,4.5
1280,110,5.3,1.4,1.7,2.6,1.2,1.6
1280,10,5.5,2.4,9.1,5.3,0.6,5.9
1280,20,7.1,8.8,8.3,3.8,7.9,0.0
1280,180,9.0,1.6,0.7,6.8,1.5,0.3
1280,190,9.5,0.9,9.9,0.5,0.4,6.3
1280,40,6.0,5.4,9.2,3.4,1.6,8.5
1280,50,6.7,4.5,8.6,0.7,2.1,4.6
1280,150,8.7,3.8,3.2,0.4,3.2,0.7
1280,100,4.1,3.7,2.6,1.1,1.6,1.1
1280,40,1.2,2.1,4.5,0.6,0.5,1.4
1280,100,1.8,6.1,0.2,1.6,4.6,0.2
1280,90,3.9,0.3,3.8,1.9,0.1,1.9
1280,70,2.6,8.2,0.3,0.8,4.5,0.1
