particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
3200,50,6.1,4.2,3.5,2.8,1.7,3.1,5.3,0.98
3200,50,9.8,1.5,6.9,2.5,1.5,4.6,9.9,0.66
3200,50,9.2,6.9,7.5,1.3,3.8,6.5,6.1,0.84
3200,300,8.4,7.7,9.5,4.8,3.6,9.1,6.8,0.58
3200,250,0.4,5.4,7.0,0.0,3.0,5.8,7.8,0.57
3200,250,2.4,0.1,5.8,0.3,0.1,3.4,4.2,0.97
3200,150,9.4,6.8,1.4,8.5,0.4,0.8,1.6,0.86
3200,200,6.6,5.7,5.1,0.8,5.3,2.6,3.8,0.94
3200,300,7.8,7.9,4.7,7.5,2.2,2.6,7.3,0.79
3200,50,3.4,4.5,7.9,1.5,4.5,5.9,7.4,0.79
3200,350,2.2,3.3,8.3,1.6,1.9,6.3,5.9,0.51
3200,350,1.4,6.3,1.6,0.3,4.7,0.1,6.6,0.75
3200,50,3.4,1.6,2.7,1.7,1.2,0.8,8.7,0.67
3200,100,0.9,2.5,8.5,0.2,2.1,1.5,0.2,0.54
3200,250,7.7,9.2,9.2,4.6,0.7,2.7,4.2,0.56
3200,100,7.2,5.6,7.6,3.5,4.7,4.7,8.6,0.96
3200,200,5.4,5.1,0.1,1.3,1.2,0.1,4.8,0.88
3200,50,3.6,0.5,3.2,1.1,0.3,0.3,8.0,0.89
3200,100,4.5,5.4,6.4,1.6,2.1,5.2,9.3,0.81
3200,350,1.9,8.1,0.7,0.8,7.4,0.3,1.8,0.59
3200,250,4.7,6.0,2.4,0.2,5.7,0.0,6.3,0.91
3200,150,4.1,3.9,9.8,3.3,2.3,8.4,3.1,0.55
3200,100,5.7,3.7,1.0,4.4,0.4,0.9,6.7,0.93
3200,350,0.2,4.7,5.0,0.2,4.5,4.3,7.8,0.89
3200,100,8.1,8.5,8.8,1.4,2.3,0.2,8.1,0.63
3200,250,7.9,4.0,2.2,0.1,1.3,1.8,7.7,0.64
3200,250,2.7,5.3,0.8,0.9,3.6,0.4,9.7,0.80
3200,350,7.1,8.8,8.6,6.7,1.9,4.2,2.4,0.77
3200,150,4.2,1.2,6.3,3.9,0.2,1.4,1.5,0.62
3200,250,1.1,8.8,0.2,0.9,5.5,0.1,3.3,0.71
3200,150,7.4,9.6,0.4,7.4,9.0,0.1,9.0,0.87
3200,350,6.7,2.2,0.9,3.8,1.9,0.9,9.8,0.70
3200,300,1.3,1.7,3.9,1.0,0.1,0.5,3.5,0.82
3200,100,5.8,9.9,7.3,3.5,9.3,5.2,4.9,0.68
3200,200,8.7,8.4,4.6,2.4,5.8,2.4,1.9,0.69
3200,200,0.5,3.5,6.2,0.5,2.7,0.2,2.1,0.53
3200,250,7.5,0.4,7.8,6.8,0.1,2.2,8.8,0.95
3200,250,2.9,7.9,6.7,1.4,5.8,2.7,3.0,0.83
3200,100,5.4,1.3,8.1,1.1,0.7,4.9,5.2,0.97
3200,150,6.5,8.7,1.8,2.0,7.6,0.2,2.0,0.59
3200,50,3.2,7.2,9.7,2.1,3.6,1.2,7.5,0.67
3200,250,8.6,1.3,7.1,2.5,0.0,0.4,4.1,0.66
3200,100,0.6,2.9,4.9,0.4,0.0,2.6,4.4,0.92
3200,200,6.5,0.3,5.4,2.4,0.2,1.4,2.2,0.84
3200,300,7.0,8.9,5.7,2.5,3.6,4.4,1.6,0.91
3200,250,5.5,9.3,2.7,5.3,7.9,2.3,5.8,0.73
3200,50,7.6,8.0,3.0,3.2,3.3,1.8,5.0,0.86
3200,200,5.1,1.9,0.3,3.5,1.3,0.2,0.7,0.92
3200,350,2.4,1.0,5.6,0.7,0.1,3.6,4.6,0.85
3200,300,4.1,4.4,5.8,1.8,3.4,0.9,0.8,0.92
