particles,iterations,w,c1,c2,min_w,min_c1,min_c2
640,200,0.9,3.4,2.4,0.8,1.8,2.3
640,250,9.7,4.0,4.7,4.7,3.6,3.3
640,160,4.7,4.8,0.2,1.3,3.3,0.2
640,270,0.4,4.9,7.7,0.4,2.1,3.0
640,180,8.0,6.3,9.2,8.0,5.8,3.4
640,20,1.8,0.2,2.0,1.1,0.1,0.8
640,60,3.7,4.1,6.8,3.5,1.5,1.6
640,100,0.9,7.0,2.5,0.7,1.8,0.9
640,330,8.1,7.2,0.4,1.8,5.0,0.3
640,170,7.4,0.7,6.3,0.0,0.4,6.0
640,360,8.7,4.7,6.9,4.7,0.6,3.4
640,260,7.6,8.9,9.6,3.4,7.7,2.6
640,230,0.8,9.6,8.0,0.3,0.6,7.6
640,350,1.6,7.7,3.4,0.4,6.7,1.6
640,330,6.0,3.4,8.7,2.4,3.3,5.5
640,190,1.0,4.6,0.9,0.7,4.4,0.3
640,70,5.0,2.1,6.2,3.2,1.0,1.3
1280,130,7.6,6.9,3.3,1.0,4.4,2.4
1280,30,8.8,1.1,4.4,0.9,1.0,0.5
1280,20,7.8,4.5,3.7,6.7,0.7,1.4
1280,160,6.3,0.9,6.8,4.3,0.1,2.7
1280,190,8.8,5.4,1.6,7.7,0.5,0.7
1280,30,4.8,2.6,4.6,2.8,0.7,4.4
1280,10,8.3,8.0,3.0,8.1,4.9,0.9
1280,60,0.1,3.9,2.3,0.1,0.3,0.4
1280,120,2.1,2.8,5.4,1.2,1.7,2.3
1280,140,4.3,9.9,8.4,2.3,4.8,3.8
1280,110,7.0,10.0,1.2,2.7,4.4,0.2
1280,120,9.6,8.2,0.7,8.8,2.2,0.0
1280,120,4.1,8.9,9.8,2.7,6.6,2.9
1280,60,5.9,0.6,4.7,3.8,0.4,3.5
1280,150,5.9,7.3,2.1,4.2,2.5,0.5
1280,190,2.0,0.4,0.9,1.6,0.1,0.5
1280,140,6.0,1.0,9.5,3.7,0.5,9.3
1280,100,1.3,5.2,3.1,0.4,4.8,1.8
1280,50,4.7,0.5,5.3,1.2,0.3,1.1
1280,170,5.2,7.9,4.8,5.2,6.5,0.0
1280,160,8.1,6.0,1.9,3.4,2.0,0.3
1280,150,0.6,4.9,5.9,0.1,2.9,1.6
1280,150,5.4,6.7,8.1,0.3,1.5,6.6
1280,120,1.9,1.2,6.5,0.3,0.9,5.3
1280,130,4.3,2.9,1.2,3.6,0.6,0.2
1280,190,5.8,2.3,5.4,4.3,0.6,1.3
1280,140,2.3,5.3,4.1,1.4,3.3,2.3
1280,90,9.2,1.8,7.1,1.7,0.3,5.8
1280,120,1.5,6.7,9.8,0.9,5.7,2.1
1280,100,9.0,4.0,7.2,6.2,0.2,4.9
1280,100,3.4,0.1,1.4,2.2,0.1,0.7
1280,50,3.6,4.9,2.1,3.2,1.7,1.9
1280,110,9.9,1.7,9.5,9.2,0.4,8.0
