particles,iterations,w,c1,c2,min_w,min_c1,min_c2
3840,30,5.2,9.9,3.5,4.5,6.4,0.5
3840,40,9.9,4.5,8.1,1.3,3.9,1.7
3840,40,6.4,9.4,2.5,4.1,6.4,1.0
3840,10,1.0,1.9,2.0,0.2,0.2,1.9
3840,10,9.8,5.8,7.7,0.6,3.1,1.7
3840,30,9.1,3.2,6.5,9.1,2.1,0.1
3840,40,3.7,5.5,8.1,3.2,1.5,6.9
3840,10,5.3,0.4,2.9,5.2,0.1,2.7
3840,40,2.4,5.6,7.2,1.0,3.4,3.7
3840,20,7.7,4.0,9.8,3.4,2.4,2.2
3840,30,7.1,1.3,3.3,2.2,1.2,2.6
3840,40,5.9,6.1,8.8,3.2,0.9,4.1
3840,20,6.7,5.9,1.2,6.3,2.7,0.4
3840,10,0.8,9.7,0.3,0.7,4.9,0.0
3840,30,7.2,1.4,6.1,6.7,1.3,0.1
3840,10,8.9,4.1,6.4,8.4,2.0,6.1
3840,30,4.9,6.9,4.3,3.4,6.6,0.6
3840,40,8.1,9.2,9.5,0.3,7.2,2.2
3840,20,8.5,4.9,3.3,2.9,1.4,1.9
3840,20,0.9,8.8,3.4,0.7,3.9,0.6
3840,10,4.4,9.5,7.1,2.7,4.5,2.1
3840,40,4.1,0.3,9.1,1.1,0.0,7.6
3840,20,1.4,3.8,1.6,0.4,2.6,0.8
3840,10,9.7,4.3,3.6,3.4,3.6,3.5
3840,40,10.0,0.7,9.5,1.0,0.1,3.0
3840,30,4.1,6.7,7.4,3.8,6.0,5.2
3840,20,7.8,1.4,5.5,2.1,0.6,4.6
3840,30,6.3,6.8,7.5,0.1,0.9,6.8
3840,40,3.7,3.3,8.5,1.4,0.8,2.4
3840,10,9.6,2.4,7.3,1.7,1.2,2.9
3840,10,7.3,9.8,7.8,2.7,3.2,0.8
3840,40,1.9,8.0,7.4,0.5,6.4,7.2
3840,30,4.0,7.4,1.4,2.7,2.2,0.1
3840,40,8.2,5.4,7.7,4.2,2.4,6.7
3840,40,5.0,9.6,4.8,3.2,4.1,0.6
3840,30,2.5,2.6,8.6,0.2,2.2,8.4
3840,30,0.2,9.7,8.2,0.0,1.2,5.9
3840,30,3.3,1.6,4.1,1.9,0.6,2.9
3840,30,3.5,9.1,8.4,3.0,4.3,7.8
3840,10,8.3,7.3,8.3,6.2,1.5,5.2
3840,10,1.1,2.3,8.7,0.2,0.1,7.7
3840,30,5.6,6.4,9.6,3.7,0.7,6.4
3840,30,5.7,9.2,2.3,5.4,0.1,0.8
3840,30,5.5,1.1,3.0,3.0,0.1,2.3
3840,10,5.4,7.3,6.2,4.8,1.2,3.0
3840,10,6.2,5.1,7.0,3.1,3.9,3.6
3840,40,7.0,1.9,9.4,0.3,0.7,1.9
3840,20,6.5,9.1,2.9,0.7,6.1,2.3
3840,30,7.7,6.3,8.6,6.8,0.3,2.3
3840,10,0.8,3.6,7.0,0.6,3.2,5.7
