particles,iterations,w,c1,c2,min_w,min_c1,min_c2
1280,190,1.1,3.1,2.5,0.7,1.0,1.7
1280,150,2.9,7.6,5.1,1.3,6.9,2.7
1280,80,8.0,3.6,8.6,6.3,0.5,3.3
1280,100,9.8,5.1,3.9,9.3,3.9,2.5
1280,140,5.6,1.6,7.0,0.8,0.1,3.0
1280,120,9.4,8.4,7.3,2.1,7.2,6.1
1280,80,3.4,0.6,6.6,1.0,0.4,1.8
1280,110,4.9,4.3,6.0,3.5,2.4,4.2
1280,140,3.2,2.6,6.3,0.1,0.1,4.1
1280,40,1.3,3.1,4.0,0.8,1.0,0.3
1280,180,3.7,4.8,8.0,1.0,2.5,5.6
1280,120,0.7,3.9,2.7,0.5,2.5,1.4
1280,10,7.3,2.0,1.2,5.6,1.6,0.9
1280,50,8.6,6.1,0.2,4.0,0.9,0.1
1280,80,9.3,8.9,2.0,2.9,4.1,1.9
1280,30,3.8,6.6,9.2,1.7,4.5,3.2
1280,170,8.9,5.0,5.2,2.8,1.4,4.5
1280,180,1.8,7.5,9.6,1.6,7.3,2.0
1280,50,9.1,6.9,1.3,3.8,0.0,1.3
1280,170,0.5,3.4,3.4,0.2,3.4,0.2
1280,130,6.4,3.2,8.3,4.2,2.7,1.0
1280,20,0.9,2.4,0.4,0.4,0.2,0.1
1280,140,6.2,4.7,5.8,6.1,1.9,4.0
1280,70,2.0,7.6,3.2,0.2,4.6,1.8
1280,110,0.2,0.7,7.3,0.1,0.6,5.2
1280,190,7.9,8.3,1.6,0.2,7.5,0.1
1280,110,6.9,9.5,9.6,2.2,6.9,7.7
1280,150,0.6,2.5,4.9,0.4,2.2,2.4
1280,160,4.4,7.5,1.1,1.1,1.6,1.1
1280,60,6.8,5.9,6.3,5.7,2.1,5.5
1280,190,4.2,6.8,8.7,0.6,1.2,1.7
1280,90,0.9,9.7,3.7,0.5,6.8,0.6
1280,30,2.3,9.2,0.5,2.0,8.9,0.4
1280,130,7.8,2.2,1.4,0.5,0.1,1.0
1920,30,7.9,4.3,4.3,4.1,2.1,2.0
1920,60,2.6,4.0,9.0,2.2,0.8,6.1
1920,90,5.6,8.9,2.9,0.2,8.1,1.9
1920,60,7.9,0.5,6.1,7.1,0.5,1.7
1920,90,7.4,0.3,8.2,6.2,0.1,4.4
1920,10,5.3,9.1,0.5,1.7,7.9,0.0
1920,10,0.5,6.2,8.0,0.4,4.0,6.4
1920,20,0.4,2.8,5.3,0.0,1.2,3.4
1920,70,5.5,3.2,6.8,2.9,2.7,2.6
1920,40,4.9,4.9,1.2,3.9,3.5,0.9
1920,40,0.9,8.5,3.2,0.1,0.2,3.0
1920,70,5.9,8.3,6.8,4.7,7.4,5.7
1920,40,6.9,1.7,2.7,2.3,0.7,1.4
1920,20,8.8,7.7,0.3,3.9,7.7,0.2
1920,70,9.0,2.3,7.2,5.0,1.2,4.1
1920,90,4.0,9.2,0.7,1.0,5.4,0.2
