particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
2560,250,7.3,5.2,3.9,1.3,3.2,3.2,3.2,0.54
2560,350,6.6,6.7,6.9,3.8,2.6,6.5,5.9,0.80
2560,150,5.3,7.3,6.1,0.3,1.6,4.3,6.4,0.81
2560,300,5.2,1.7,8.8,1.8,0.2,2.1,0.1,0.95
2560,250,1.0,7.5,3.2,0.6,0.2,0.5,9.3,0.60
2560,300,8.5,7.6,9.5,0.9,7.2,5.5,2.8,0.61
2560,50,3.7,8.1,8.3,3.5,4.5,3.5,1.5,0.82
2560,450,5.8,8.7,3.3,4.4,1.5,3.1,6.9,0.65
2560,50,7.1,0.1,7.1,6.8,0.0,4.8,2.3,0.73
2560,150,7.0,4.0,4.6,3.4,1.5,2.0,5.0,0.63
2560,200,4.2,8.3,5.9,2.8,1.9,0.8,7.8,0.95
2560,400,2.6,2.1,5.7,1.3,1.1,2.2,6.2,0.69
2560,100,3.3,8.7,0.5,2.5,4.9,0.5,9.4,0.71
2560,450,9.9,6.4,3.6,5.5,3.2,1.0,0.2,0.87
2560,200,8.3,7.2,8.2,7.1,4.9,7.8,7.6,0.98
2560,450,5.8,5.0,5.4,1.4,3.7,5.3,2.7,0.66
2560,200,0.6,6.2,1.2,0.3,2.1,1.1,8.9,0.60
2560,400,9.8,2.9,4.8,8.9,2.3,0.1,4.7,0.92
2560,100,0.8,2.5,3.8,0.6,1.5,0.7,6.0,0.63
2560,350,3.8,4.1,7.8,1.8,2.2,0.1,5.6,0.87
2560,300,8.4,5.5,3.0,2.6,1.9,2.0,1.1,0.96
2560,450,9.1,3.0,5.3,0.7,0.5,3.2,0.4,0.55
2560,300,2.8,5.4,6.4,0.4,5.0,3.0,4.3,0.91
2560,350,6.0,7.9,3.8,4.4,5.6,0.9,7.0,0.88
2560,150,9.0,3.4,5.0,4.1,2.5,4.0,5.9,0.78
2560,450,3.6,5.9,8.6,3.3,5.3,5.6,5.5,0.56
2560,250,6.4,4.4,8.4,0.1,2.9,4.7,7.4,0.82
2560,100,9.4,3.9,9.8,3.4,2.1,2.5,3.0,0.90
2560,400,0.2,2.0,9.5,0.0,0.9,9.5,8.4,0.77
2560,100,2.1,1.4,9.2,0.9,1.2,5.2,4.5,0.78
2560,50,4.4,0.2,0.8,1.5,0.2,0.7,4.6,0.50
2560,250,4.3,6.7,4.5,3.1,1.4,0.3,2.5,0.68
2560,250,0.9,9.5,4.7,0.9,1.8,2.8,0.8,0.51
2560,150,2.4,1.0,3.0,1.1,0.4,2.5,2.0,0.85
2560,400,3.2,2.3,2.0,2.7,2.2,1.2,1.9,0.75
2560,50,7.1,8.8,2.2,2.3,6.1,1.6,9.8,0.90
2560,300,6.8,6.1,2.4,0.8,2.8,0.4,0.7,0.68
2560,250,7.4,9.6,9.0,7.3,0.5,5.8,3.3,0.59
2560,450,1.8,8.1,8.9,1.2,0.7,0.7,8.1,0.54
2560,200,2.8,2.0,10.0,1.0,1.8,5.2,8.9,0.84
2560,150,6.0,7.8,7.4,2.7,4.9,6.3,2.2,0.58
2560,400,4.1,9.4,2.8,0.5,8.0,0.4,6.7,0.93
2560,200,9.6,9.2,2.1,5.3,2.6,1.9,4.2,0.92
2560,50,7.8,1.1,8.9,2.3,0.9,4.7,3.8,0.62
2560,100,8.7,5.7,9.7,6.2,0.8,3.3,5.7,0.55
2560,50,4.0,6.0,6.6,3.7,0.4,3.0,9.2,0.50
2560,450,6.1,5.9,5.2,1.3,5.4,2.1,7.6,0.52
2560,400,5.7,4.3,6.0,4.9,2.7,3.3,6.5,0.89
2560,450,4.5,9.6,5.0,2.3,5.5,4.3,4.0,0.97
2560,250,5.3,9.8,2.5,4.3,8.0,1.1,8.7,0.64
