particles,iterations,w,c1,c2,min_w,min_c1,min_c2
640,180,3.3,5.7,9.7,2.7,2.1,5.1
640,330,1.7,0.9,9.8,0.2,0.7,7.3
640,150,4.3,3.8,7.4,0.1,3.0,2.2
640,280,7.9,6.7,6.6,3.9,4.7,2.3
640,320,3.5,0.6,5.9,0.4,0.3,4.5
640,200,4.1,2.5,3.5,0.4,0.8,2.1
640,270,8.6,4.4,6.0,1.5,0.9,1.6
640,270,3.0,0.6,0.8,2.4,0.6,0.1
640,360,7.2,4.2,1.8,3.4,0.8,1.4
640,380,2.6,8.2,2.2,0.2,7.6,1.7
640,230,6.1,6.0,5.6,1.7,4.9,4.5
640,250,5.5,2.2,3.1,4.2,1.1,0.6
640,210,5.3,3.6,0.8,1.6,3.4,0.6
640,60,9.5,2.3,0.2,2.0,2.1,0.0
640,230,0.6,8.6,8.0,0.3,6.0,0.3
640,180,9.2,2.7,7.0,6.6,1.3,3.0
640,240,1.9,8.7,8.9,0.2,1.0,2.3
640,250,2.8,8.3,8.3,0.3,6.2,6.0
640,230,1.5,9.5,4.3,0.4,7.9,2.7
640,320,4.6,1.5,7.7,0.7,0.7,6.3
640,150,9.4,2.6,1.0,6.0,0.6,0.2
640,310,0.2,6.2,5.3,0.1,3.9,2.7
640,40,4.2,5.8,5.6,0.9,1.6,0.3
640,260,7.1,8.0,4.1,0.1,5.8,1.0
640,160,7.0,3.5,4.6,2.1,0.9,2.3
640,370,1.3,3.2,5.3,0.1,1.1,0.4
640,280,9.0,0.8,6.9,6.2,0.0,5.0
640,280,7.2,9.2,3.9,0.3,9.1,0.4
640,210,6.5,2.7,1.4,5.7,2.0,1.2
640,320,7.3,7.5,4.4,3.8,4.6,1.5
640,210,1.4,5.0,2.1,0.9,3.3,1.5
640,50,8.4,1.9,7.9,2.1,1.2,1.7
640,140,4.8,9.7,3.0,4.1,8.1,2.6
640,240,8.8,5.7,0.3,5.1,3.0,0.1
640,380,3.4,8.8,6.0,2.7,8.5,0.7
640,50,2.4,2.4,9.7,2.3,2.3,5.4
640,90,9.9,7.4,9.3,8.4,6.6,4.5
640,70,0.7,1.3,5.8,0.2,0.6,0.2
640,90,7.8,5.9,7.3,2.7,2.2,6.3
640,90,6.2,7.9,5.5,0.3,1.1,5.2
640,100,7.7,7.2,2.7,6.1,4.6,1.9
640,380,4.7,1.1,6.5,4.2,0.3,3.9
640,250,5.4,2.9,1.5,4.8,1.2,0.9
640,20,1.3,3.4,1.9,0.5,2.3,1.2
640,160,8.9,0.9,5.4,4.8,0.1,0.1
640,50,5.1,7.6,3.7,5.0,3.9,2.8
640,130,2.0,7.1,2.1,0.8,3.9,0.5
640,30,3.7,6.6,0.5,3.1,0.3,0.0
640,200,0.5,9.2,1.2,0.2,7.8,1.0
640,170,5.6,2.6,3.5,5.2,0.7,1.9
