particles,iterations,w,c1,c2,min_w,min_c1,min_c2
1280,70,7.5,7.8,5.8,2.6,4.3,1.4
1280,100,1.6,0.8,6.4,0.2,0.1,1.7
1280,50,4.8,6.5,4.3,3.5,1.6,0.4
1280,130,2.7,0.3,1.0,1.2,0.2,0.4
1280,190,3.3,8.3,4.5,1.2,4.3,1.1
1280,20,7.0,2.1,2.9,6.5,0.9,0.3
1280,10,8.3,1.5,7.8,2.3,0.4,6.6
1280,10,1.5,4.1,9.3,0.1,2.8,6.0
1280,40,0.4,7.9,7.7,0.3,4.3,1.2
1280,100,3.2,5.5,8.6,0.9,4.8,3.0
1280,90,2.5,3.1,9.9,1.3,2.2,6.0
1280,70,0.6,4.0,7.5,0.5,2.7,4.3
1280,130,1.1,6.2,6.7,0.8,3.6,4.1
1280,70,9.8,1.8,9.7,6.6,1.4,9.2
1280,70,6.3,6.3,5.2,1.9,0.4,0.7
1280,180,3.0,8.8,5.7,1.7,0.3,3.6
1280,60,7.6,6.4,0.4,6.2,3.3,0.4
1280,50,2.8,5.1,3.6,1.4,4.8,2.7
1280,60,3.4,7.2,6.8,1.9,1.8,3.2
1280,180,2.9,5.9,3.4,1.6,4.2,1.0
1280,160,3.8,3.3,7.6,3.0,1.4,0.8
1280,20,4.1,7.7,6.7,4.0,6.2,2.2
1280,40,9.2,3.6,6.2,3.9,1.6,2.2
1280,20,5.2,8.5,5.9,5.0,5.4,1.6
1280,80,6.5,7.9,7.1,2.5,2.6,2.6
1280,130,0.8,8.7,2.5,0.7,3.4,1.8
1280,180,8.2,9.4,4.2,0.4,3.0,0.5
1280,60,9.2,6.2,8.8,1.7,3.1,8.5
1280,40,7.4,0.3,7.9,1.2,0.0,5.7
1280,170,7.7,0.7,6.1,6.2,0.4,4.6
1280,10,8.5,3.0,6.6,2.9,0.6,5.1
1280,100,8.5,1.1,3.5,5.9,0.0,3.4
1280,80,2.4,9.9,8.3,0.4,9.2,3.8
1280,190,0.4,3.4,9.0,0.4,3.3,0.2
1280,160,8.8,8.1,5.0,0.1,1.4,1.4
1280,120,7.3,1.2,3.9,2.9,0.7,1.3
1280,180,2.5,9.4,2.4,1.6,7.8,0.6
1280,110,0.3,2.3,2.3,0.2,1.7,2.0
1280,170,6.7,4.3,9.0,6.3,2.5,8.1
1280,80,7.2,7.1,7.7,4.7,0.7,6.8
1280,150,5.0,9.6,9.9,4.6,0.5,8.3
1280,130,5.8,8.6,1.5,1.1,0.8,0.5
1280,50,5.4,2.7,5.5,0.9,2.2,5.3
1280,160,6.1,9.8,2.8,2.2,2.2,2.2
1280,90,4.8,1.4,0.2,4.3,0.9,0.1
1280,70,9.8,9.3,8.5,8.7,4.4,6.7
1280,170,6.8,3.8,1.8,6.4,0.8,1.6
1280,60,3.5,1.3,5.6,0.7,0.8,2.6
1280,160,4.5,4.4,4.4,1.0,3.0,1.7
1280,90,3.1,9.1,8.1,2.4,6.8,0.2
