particles,iterations,w,c1,c2,min_w,min_c1,min_c2
1920,70,2.1,8.7,8.5,2.0,8.4,5.2
1920,90,9.5,4.2,4.5,0.6,1.5,3.2
1920,80,5.1,5.1,9.3,5.1,4.3,7.5
1920,40,5.3,7.3,6.6,3.1,5.4,4.0
1920,50,8.6,5.6,9.7,3.8,1.6,0.2
1920,50,0.2,7.4,2.1,0.0,6.7,2.0
1920,10,8.0,8.8,2.2,6.1,6.7,1.0
1920,50,0.4,0.6,0.4,0.2,0.0,0.2
1920,20,8.5,0.9,7.1,4.0,0.9,1.4
1920,40,6.8,1.9,0.2,3.1,1.4,0.2
1920,20,4.9,0.5,2.0,2.8,0.4,0.3
1920,20,2.7,8.2,7.9,1.8,1.5,6.8
1920,40,9.4,9.7,1.1,6.6,2.9,0.3
1920,80,4.1,0.1,8.9,3.3,0.0,6.6
1920,30,1.6,1.4,1.8,0.9,0.5,1.0
1920,70,1.5,9.9,1.0,0.4,4.5,0.0
1920,60,2.7,2.5,7.5,2.0,2.1,5.6
1920,50,1.3,3.6,0.6,0.9,1.5,0.1
1920,80,1.8,1.8,9.8,0.8,1.0,7.7
1920,50,9.8,9.6,5.8,0.1,6.1,5.1
1920,20,8.1,4.3,0.8,4.1,1.1,0.7
1920,60,0.9,2.3,0.8,0.9,1.5,0.0
1920,20,3.1,2.7,3.1,0.7,1.0,0.9
1920,10,7.8,3.9,3.4,4.2,3.7,3.4
1920,10,2.8,9.5,2.8,1.7,1.5,1.0
1920,90,1.1,4.1,5.2,0.5,3.5,1.9
1920,50,5.1,2.0,5.6,4.9,1.2,1.4
1920,30,8.2,3.1,9.7,1.8,0.5,3.8
1920,70,9.0,8.1,4.6,4.6,5.9,1.9
1920,90,7.1,9.2,6.9,5.3,0.2,0.4
1920,30,9.3,4.1,4.1,8.4,2.1,0.0
1920,10,8.4,7.2,9.0,5.8,4.6,0.9
1920,90,7.3,3.4,6.4,0.5,2.7,2.1
1920,70,7.6,9.9,1.9,6.3,0.0,1.8
1920,30,1.5,2.6,2.6,1.2,2.0,1.7
1920,80,9.2,9.7,1.2,8.9,0.9,0.9
1920,90,9.9,3.8,3.7,6.7,1.0,1.0
1920,70,3.8,2.1,8.6,0.1,1.6,8.4
1920,60,2.9,4.7,5.1,1.6,3.9,5.0
1920,70,0.1,4.4,1.4,0.1,0.2,1.2
1920,40,6.3,2.9,7.8,4.7,1.5,0.1
1920,40,0.5,5.4,9.4,0.2,0.2,3.6
1920,40,3.0,6.6,6.3,2.6,2.2,3.0
1920,40,1.0,4.8,6.6,0.4,2.8,2.7
1920,10,1.1,4.9,9.1,0.3,1.3,3.6
1920,80,5.1,0.7,9.4,1.1,0.7,7.3
1920,50,1.3,3.0,4.0,1.0,0.6,3.0
1920,80,8.6,2.8,3.5,5.6,1.9,1.0
1920,70,8.3,3.1,3.9,6.2,1.1,2.9
1920,90,6.9,3.3,5.5,4.4,1.1,5.5
