particles,iterations,w,c1,c2,min_w,min_c1,min_c2
1920,90,8.5,1.0,1.5,1.8,0.7,0.7
2560,50,6.7,1.4,0.7,4.4,0.1,0.4
2560,10,6.0,7.8,9.9,2.6,7.0,8.9
2560,20,8.3,4.3,9.5,4.4,0.2,9.3
2560,50,4.0,2.9,3.8,2.8,1.7,3.2
2560,20,8.7,5.6,5.4,8.0,3.8,4.8
2560,30,4.3,0.8,2.6,1.2,0.7,1.9
2560,20,7.2,8.6,5.5,3.2,2.4,2.8
2560,50,0.7,3.6,7.6,0.6,0.2,3.7
2560,50,0.9,3.0,3.7,0.2,1.4,1.1
2560,30,3.4,0.3,0.5,2.0,0.3,0.3
2560,10,9.7,6.4,9.8,6.8,3.7,2.2
2560,40,5.7,9.5,6.4,4.6,7.1,3.5
2560,60,1.4,9.7,2.5,0.8,3.3,0.5
2560,60,9.1,3.9,8.6,1.5,1.5,3.2
2560,30,1.3,2.1,1.2,1.3,0.3,1.0
2560,50,1.6,7.1,3.9,0.0,3.7,0.3
2560,40,2.9,8.6,3.6,1.3,1.0,0.6
2560,10,2.8,3.8,3.4,2.4,2.2,2.5
2560,50,6.9,4.8,5.6,2.5,1.0,5.6
2560,60,7.4,3.0,3.0,7.3,2.9,0.4
2560,60,2.0,1.3,4.5,0.8,1.1,3.2
2560,40,8.6,8.2,6.2,1.0,2.0,0.0
2560,70,2.3,10.0,2.9,0.5,1.0,2.6
2560,50,9.9,1.8,8.6,4.1,1.1,0.5
2560,40,6.7,9.1,9.0,5.5,8.8,7.7
2560,40,7.4,7.9,2.9,0.8,3.3,1.2
2560,50,6.3,8.5,7.3,0.2,0.6,3.9
2560,30,4.4,8.4,2.7,1.5,1.8,1.1
2560,40,9.2,6.8,0.1,7.2,4.5,0.0
2560,30,1.1,1.4,4.8,0.5,1.3,4.5
2560,10,4.1,0.6,5.6,1.6,0.5,4.5
2560,40,6.8,7.2,0.9,2.4,6.2,0.4
2560,30,5.5,2.4,4.4,4.8,1.5,0.7
2560,30,3.5,5.9,4.6,0.2,3.2,2.1
2560,20,3.8,5.9,0.8,1.3,3.7,0.0
2560,40,6.5,7.6,8.4,3.4,6.0,3.6
2560,10,9.8,0.9,4.4,7.7,0.3,1.2
2560,30,7.0,9.5,9.3,5.4,0.5,0.2
2560,20,4.8,0.1,4.0,1.4,0.1,0.8
2560,20,8.1,2.2,3.2,3.4,0.2,0.2
2560,30,0.4,9.5,6.8,0.3,2.6,3.3
2560,50,2.6,3.3,1.5,0.8,2.8,1.3
2560,60,7.2,4.2,4.2,5.4,0.1,0.9
2560,50,9.0,3.7,7.8,6.5,1.7,6.2
2560,60,2.2,7.3,7.4,0.9,0.0,5.5
2560,60,1.7,9.2,1.0,1.5,0.7,0.9
2560,30,2.8,3.1,0.4,0.6,1.0,0.1
2560,10,9.2,8.7,8.9,0.8,8.2,6.2
2560,20,7.0,5.4,6.5,2.6,3.8,4.7
