particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1920,100,0.70,8.70,9.50,0.00,2.50,1.90,9.50,0.86
1280,250,9.10,7.40,8.90,5.60,7.00,2.10,0.90,0.58
2560,50,3.00,0.50,5.40,0.50,0.10,0.00,1.10,0.66
5120,350,8.90,4.20,5.90,8.60,1.80,5.40,0.90,0.81
5120,300,8.20,8.80,1.80,3.00,7.90,0.00,5.80,0.66
1280,200,7.80,5.30,1.10,5.20,0.40,0.80,9.70,0.93
1280,100,6.70,8.10,1.60,6.10,4.20,0.80,1.20,0.72
1920,350,1.80,8.30,4.70,1.50,1.10,4.30,2.40,0.60
5120,100,5.50,2.40,7.10,4.70,0.30,6.50,2.80,0.79
1280,500,8.40,1.10,5.20,4.90,0.40,0.10,0.80,1.00
5760,150,4.20,3.70,7.90,0.70,1.30,0.40,3.20,0.84
640,250,2.80,4.20,1.20,1.50,3.10,1.10,1.00,0.75
4480,250,1.50,9.20,6.70,1.20,4.60,0.20,8.50,0.98
4480,450,7.50,5.40,8.50,1.00,3.80,3.40,6.60,0.64
5760,100,6.00,7.90,4.60,5.30,4.80,2.40,3.70,0.98
1280,250,2.10,3.40,2.20,1.00,0.30,1.10,3.50,0.86
3200,450,6.40,7.00,3.40,2.00,4.10,0.70,6.20,0.60
4480,350,7.80,4.50,7.10,6.00,3.70,4.50,9.00,0.92
1920,400,8.40,4.70,0.20,8.20,0.80,0.00,6.30,0.51
2560,500,4.30,6.50,0.90,1.70,5.00,0.60,5.70,0.64
3840,100,9.40,1.00,10.00,4.50,0.60,1.70,9.00,0.95
6400,350,6.20,8.00,9.70,4.90,4.60,5.60,3.20,0.51
4480,150,8.00,7.30,9.30,1.20,0.30,3.00,6.90,0.69
1280,200,5.10,1.50,1.00,2.50,0.80,0.30,7.90,0.73
5760,200,0.70,2.20,2.20,0.30,0.70,0.20,6.90,0.58
640,50,6.40,8.50,6.60,5.70,5.90,4.30,4.50,0.59
1920,500,5.00,2.00,5.60,3.30,0.90,2.90,5.80,0.80
640,450,2.50,4.50,7.10,0.30,1.00,0.20,9.70,0.66
5120,50,6.10,4.40,4.80,3.50,0.10,1.20,6.00,0.78
6400,400,1.10,7.80,3.00,0.40,7.70,1.20,4.80,0.78
4480,100,2.00,8.80,4.20,1.90,2.90,2.80,8.20,0.77
5760,350,7.90,0.70,0.30,3.20,0.10,0.10,5.10,0.92
1280,400,3.20,3.10,7.10,3.00,0.80,1.00,8.70,0.85
5760,250,7.60,3.90,0.80,4.80,1.10,0.20,3.40,0.59
2560,450,6.70,9.10,1.60,4.10,9.00,1.30,8.30,0.98
3200,100,4.10,2.40,8.80,1.30,0.40,0.60,5.40,0.74
6400,350,0.20,5.10,7.70,0.10,4.50,3.30,2.00,0.53
6400,250,3.30,7.00,8.30,3.20,3.10,1.20,3.30,0.85
5120,150,5.80,5.80,5.80,1.60,1.30,1.80,4.50,0.89
3200,400,9.50,8.90,4.40,1.20,6.60,3.00,4.60,0.87
1920,300,3.40,7.80,6.10,0.40,5.50,2.40,9.00,0.82
3200,150,1.80,10.00,8.40,0.20,5.60,6.00,1.30,0.64
4480,300,8.50,2.50,8.40,1.90,0.40,7.00,7.40,0.85
2560,100,4.00,2.10,8.30,3.50,1.30,0.70,8.50,0.51
3840,200,9.50,1.40,8.70,3.90,0.30,0.50,4.10,0.73
3840,450,2.60,2.00,2.30,1.40,0.50,0.40,4.90,0.96
2560,400,1.80,0.20,4.60,1.60,0.10,2.20,9.30,0.90
6400,400,8.00,8.30,7.10,6.70,4.50,2.90,5.50,0.96
3840,450,9.40,6.10,8.00,4.10,5.40,6.10,9.40,0.61
5760,100,3.60,7.40,2.30,1.90,4.90,2.00,1.00,0.68
3840,450,0.60,8.30,8.60,0.00,3.60,8.30,8.20,0.98
3840,300,3.90,7.60,1.40,1.90,4.30,1.20,7.90,0.98
4480,100,6.00,0.50,5.20,5.10,0.20,2.40,0.80,0.56
4480,350,4.40,1.50,1.10,0.40,0.10,0.40,1.90,0.57
5120,350,4.50,2.10,8.60,3.30,0.70,7.00,3.20,0.55
3200,400,10.00,5.10,0.20,0.60,0.50,0.10,4.50,0.72
1280,100,1.30,7.60,4.50,0.70,3.10,0.90,5.60,0.91
3200,250,4.60,8.40,6.50,1.50,1.60,2.80,3.90,0.56
4480,450,1.90,6.90,3.70,0.10,4.70,3.50,4.50,0.85
1280,300,8.00,3.80,7.20,1.50,1.80,6.60,5.50,0.61
1920,150,5.50,5.00,1.10,4.40,2.50,0.90,9.80,0.80
3840,200,7.70,5.30,9.60,2.00,0.20,0.60,8.10,0.50
2560,300,9.10,0.60,6.00,6.40,0.30,5.00,1.70,0.82
2560,50,6.30,2.00,0.50,2.90,0.40,0.10,9.90,0.61
2560,250,7.00,9.20,7.90,3.70,4.70,0.50,7.00,0.99
1920,150,5.20,9.50,1.90,2.90,5.10,1.40,7.50,0.84
3200,250,0.60,8.80,7.60,0.60,7.30,0.90,1.60,0.92
3200,100,7.90,6.10,2.40,6.40,0.80,1.90,4.10,0.95
5760,400,5.40,2.90,5.30,3.00,2.50,4.60,4.20,0.57
1920,100,3.10,3.00,2.70,2.40,0.20,2.30,7.10,0.91
1920,400,7.00,9.60,4.90,5.30,2.30,3.50,2.70,0.55
2560,100,1.10,7.90,5.70,0.80,0.80,1.20,7.60,0.97
3200,450,5.40,9.40,8.30,2.50,7.60,1.60,1.20,0.85
2560,450,8.30,9.10,7.90,1.30,6.00,2.10,7.20,0.65
5120,450,4.50,8.20,8.70,2.80,5.40,4.50,7.90,0.73
3200,100,3.90,0.10,9.90,2.20,0.10,2.00,2.70,0.58
1920,150,4.50,5.30,4.60,3.50,0.20,3.50,6.50,0.99
4480,400,3.40,2.30,4.10,2.50,0.90,0.30,3.60,0.92
4480,150,5.50,4.20,9.00,3.90,0.60,5.30,2.50,0.86
1280,200,3.20,3.80,3.40,0.70,0.50,3.00,4.60,0.97
4480,350,6.30,5.50,5.80,4.20,0.80,0.80,4.70,0.63
3200,50,1.40,0.70,0.40,0.80,0.30,0.00,1.80,0.53
1280,100,0.10,7.30,5.10,0.10,1.40,1.70,1.40,0.96
3200,450,9.10,6.30,8.30,2.70,4.00,6.20,2.30,0.99
5120,250,8.70,8.30,1.00,7.70,3.20,0.70,0.30,0.79
2560,450,4.50,2.30,2.50,0.10,1.10,1.50,4.70,0.95
5120,250,8.50,4.00,0.10,7.60,3.80,0.10,5.80,0.83
3840,400,5.00,2.50,1.60,1.70,1.50,1.00,7.80,0.87
3840,350,5.20,0.80,0.40,4.60,0.20,0.30,7.30,0.66
5120,250,8.10,1.20,7.10,3.70,0.20,3.20,5.70,0.99
2560,200,2.80,9.10,1.50,0.10,8.70,0.30,4.90,0.98
4480,200,1.60,0.60,1.10,1.20,0.30,1.00,8.80,0.59
1920,150,9.10,5.20,5.40,8.00,4.10,2.60,3.90,0.62
1920,300,0.50,3.80,6.00,0.30,3.80,0.40,8.90,0.81
3840,300,0.80,3.20,2.70,0.80,2.60,2.00,5.60,0.98
5760,100,6.80,4.70,1.10,0.10,4.10,0.20,9.20,0.54
5120,300,9.00,3.40,3.50,0.60,1.20,2.70,2.50,0.62
3200,300,8.90,8.60,1.40,2.70,1.70,0.20,7.90,0.76
5120,250,9.10,4.70,9.60,0.40,0.10,2.80,6.70,0.72
5120,100,9.30,7.90,2.80,7.90,0.10,1.30,9.10,0.87
