particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1280,200,0.40,9.20,7.30,0.10,1.10,3.40,0.90,0.64
1920,500,0.70,9.10,1.60,0.20,3.40,0.00,2.40,0.71
5760,400,9.80,3.20,0.40,1.10,2.60,0.30,4.60,0.77
5760,100,4.00,9.80,7.10,2.50,5.80,6.90,8.20,0.66
5120,250,6.90,7.10,1.90,2.90,2.80,0.50,2.50,0.76
5760,250,2.20,8.00,6.50,2.00,3.60,6.00,4.90,0.82
3840,350,5.50,5.40,7.00,3.60,4.10,4.30,2.20,0.67
5120,350,5.20,1.40,5.20,0.50,0.70,1.00,6.90,0.79
5120,150,4.70,5.90,3.40,3.70,5.50,0.20,9.80,0.94
3200,450,6.30,9.70,6.80,0.70,5.10,0.00,7.60,0.56
2560,150,1.50,6.20,1.70,1.10,0.90,0.30,5.20,0.71
3200,450,6.30,8.80,3.80,2.60,5.60,1.30,9.20,0.62
1280,150,4.10,9.60,8.70,1.20,8.50,0.50,4.90,0.52
1280,200,7.40,1.70,0.50,4.40,1.00,0.30,4.20,0.95
2560,100,0.30,2.40,8.90,0.00,0.00,1.80,7.80,0.65
1280,150,1.50,8.30,6.10,0.70,7.10,4.70,5.30,0.69
2560,300,5.90,9.90,2.90,4.60,1.80,2.10,6.30,0.80
5760,400,0.30,5.70,8.30,0.10,5.60,6.70,8.90,0.73
640,200,5.70,6.10,4.40,0.70,0.90,1.30,4.40,0.85
2560,350,4.90,2.70,7.60,0.40,1.00,1.90,8.80,0.68
1920,300,6.40,8.10,6.40,2.30,3.10,5.20,8.10,0.74
1920,50,1.70,5.70,5.80,1.20,3.60,1.80,4.30,0.93
2560,200,4.40,5.00,9.90,3.20,1.70,5.40,3.80,0.62
3840,300,4.20,3.60,6.80,0.40,2.60,5.50,3.20,0.86
5760,150,6.70,1.70,7.50,3.90,0.70,2.40,4.30,0.77
5120,250,6.60,0.60,6.90,1.70,0.30,0.60,6.40,0.58
1280,150,4.70,7.10,7.40,4.30,5.90,1.80,5.20,0.98
6400,450,7.90,5.70,8.70,5.10,0.60,7.20,1.00,0.69
4480,250,5.60,6.30,9.40,3.10,6.10,0.10,0.20,0.87
5120,100,7.30,8.50,3.10,6.50,8.40,1.10,6.50,0.55
4480,100,3.70,2.60,9.40,2.50,0.10,7.00,5.50,1.00
5120,200,9.30,4.50,0.50,3.00,4.00,0.40,5.40,1.00
6400,200,9.70,3.70,4.20,3.10,2.80,2.70,7.70,0.96
1280,100,1.80,3.30,3.00,1.20,1.90,1.00,2.90,0.73
4480,200,0.90,3.30,9.60,0.20,2.80,2.10,2.10,0.53
2560,200,7.30,6.70,5.10,1.70,1.00,1.30,9.50,0.82
5120,100,7.20,7.60,4.50,3.60,1.10,1.70,9.30,0.68
3200,100,3.40,3.80,6.90,2.40,2.30,3.20,6.10,0.55
4480,100,5.40,1.30,4.60,3.20,0.10,1.60,4.20,0.95
3200,300,5.70,2.40,2.30,2.80,2.20,1.50,3.30,0.90
1280,200,8.80,5.50,3.00,5.40,1.00,0.10,0.70,0.91
3200,400,9.80,3.30,9.60,3.50,0.70,4.70,7.10,0.83
2560,100,6.90,7.50,7.70,4.40,5.00,4.00,9.10,0.88
5760,250,6.60,3.20,5.70,4.80,1.70,2.30,7.30,0.94
5760,300,5.70,7.30,9.30,2.20,4.70,2.70,6.60,0.80
3840,250,8.60,9.90,2.70,0.30,0.30,2.70,6.90,0.93
640,350,0.50,0.80,6.80,0.30,0.70,2.00,9.30,0.92
5760,50,8.90,8.70,9.50,8.80,4.00,5.00,2.60,0.79
3840,250,4.00,2.30,3.60,0.10,1.10,1.40,1.90,0.84
5760,450,9.90,3.30,0.70,5.60,0.80,0.40,4.00,0.59
5760,350,1.10,5.00,9.60,0.40,2.50,8.40,7.30,0.74
1920,400,2.50,6.80,0.90,2.20,3.10,0.70,7.10,0.92
4480,350,9.80,5.80,9.10,2.90,5.50,4.20,5.40,0.58
4480,100,1.70,0.50,7.70,0.80,0.20,0.20,1.90,0.83
3840,450,5.90,5.80,1.80,0.70,5.00,1.10,1.80,0.60
4480,300,2.10,6.50,3.60,1.50,2.70,1.80,8.50,0.79
3840,150,5.90,9.70,1.00,1.30,4.00,0.40,4.40,0.52
1280,250,2.10,6.20,1.30,0.30,3.70,0.40,8.20,0.97
6400,250,3.80,0.90,4.70,0.60,0.50,0.50,3.70,0.82
