particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1920,450,4.10,7.30,8.20,0.40,6.20,3.90,1.40,0.63
3200,50,8.80,6.00,5.20,0.30,4.70,4.60,0.60,0.90
5120,450,5.00,8.40,5.50,2.50,6.20,1.50,5.40,0.88
5120,400,2.80,6.90,1.10,2.20,0.60,0.00,2.30,0.81
5120,300,5.50,3.10,7.40,4.40,0.90,1.00,1.20,0.87
5760,100,8.30,8.30,6.80,4.70,6.10,6.50,2.60,0.60
3200,100,7.40,5.40,8.10,7.30,2.60,8.00,7.40,0.78
6400,250,6.70,2.90,6.20,4.30,0.60,1.20,8.00,0.55
2560,400,3.00,9.70,0.20,2.30,6.50,0.00,5.30,0.91
1920,350,2.20,9.60,2.60,1.30,8.90,1.20,5.30,0.52
1920,500,9.90,2.30,1.70,7.40,0.20,0.40,8.60,0.66
3200,400,6.70,9.50,7.20,1.70,8.00,4.70,5.20,0.62
5120,450,1.70,7.60,1.40,1.10,2.20,0.70,0.50,0.54
5760,500,6.10,4.20,0.60,3.80,1.20,0.50,6.40,0.96
1920,300,0.40,7.50,6.60,0.10,0.70,6.00,6.80,0.69
1280,350,2.00,4.50,6.20,0.60,2.50,1.80,3.30,0.55
1920,100,5.10,7.70,3.50,0.80,5.20,1.90,1.90,0.53
4480,150,7.90,4.60,4.60,0.90,1.90,0.20,6.20,0.98
1920,250,1.70,1.50,5.70,0.50,0.70,4.60,8.00,0.62
2560,250,0.70,7.50,4.40,0.40,5.40,3.70,8.70,0.70
3840,300,4.40,7.50,5.20,2.30,2.90,2.10,7.50,0.52
4480,200,8.00,1.50,2.40,7.60,1.30,0.70,2.50,0.62
1280,350,8.30,3.00,4.00,0.80,0.50,2.00,6.70,0.60
1280,350,4.40,4.50,4.30,1.00,3.40,2.70,9.90,0.60
3200,350,7.60,5.40,4.50,3.00,0.10,2.70,6.20,0.66
1920,200,7.00,4.10,9.00,5.40,0.40,1.70,0.70,0.80
3840,150,0.80,7.30,6.90,0.80,3.20,3.00,0.80,0.64
3200,100,6.90,2.60,0.70,2.60,1.20,0.60,2.90,0.79
640,350,4.00,8.40,7.10,3.40,1.40,4.40,5.00,0.67
3200,450,0.70,0.80,6.60,0.30,0.20,6.40,6.50,0.72
2560,100,0.60,1.40,2.90,0.10,0.70,2.30,6.40,0.77
6400,400,8.60,1.00,4.30,0.90,0.80,3.50,3.70,0.83
1280,400,4.60,6.80,2.90,1.10,2.80,1.60,2.50,0.59
640,300,9.10,9.40,5.80,5.90,5.10,1.90,1.20,0.73
2560,400,5.20,8.70,8.80,0.00,1.10,6.70,6.60,0.86
1280,350,4.80,2.80,9.30,1.40,2.20,7.20,3.00,0.86
1280,300,8.50,5.70,0.40,7.60,0.00,0.20,3.60,0.60
1920,400,1.50,2.60,8.40,0.40,1.90,3.40,3.00,0.81
6400,350,8.70,7.50,0.80,0.10,4.50,0.40,4.80,0.85
3200,50,9.10,1.20,0.20,6.80,0.80,0.10,7.60,0.61
5120,350,7.40,6.50,3.70,4.20,4.20,0.30,2.30,0.62
5120,150,2.90,3.80,4.50,0.30,0.30,1.10,10.00,0.62
5120,300,4.70,8.70,8.60,2.60,1.00,8.40,4.60,0.97
4480,450,0.20,1.40,8.10,0.10,0.80,6.70,6.10,0.89
5760,400,0.30,5.80,1.10,0.20,4.40,0.50,7.20,0.93
4480,400,3.50,6.70,3.40,1.70,2.90,1.90,9.90,0.56
640,250,6.70,7.80,1.00,3.10,1.50,0.30,2.00,0.82
3840,200,7.80,8.60,2.70,7.50,7.10,2.00,5.40,0.71
3200,400,3.90,5.10,4.40,3.30,1.40,2.30,3.90,0.99
1920,100,1.90,3.60,5.10,0.20,3.50,1.50,7.80,0.85
5760,50,4.70,0.20,4.10,2.60,0.10,1.50,9.50,0.51
3840,100,1.00,9.70,1.90,0.30,0.90,0.70,7.50,0.57
5760,150,2.90,3.70,3.10,2.90,2.50,2.00,2.00,0.84
5120,450,0.30,5.50,7.20,0.00,3.80,6.50,9.10,0.77
5760,400,0.50,9.70,0.40,0.50,5.40,0.40,7.60,0.87
1920,50,2.50,1.00,7.90,1.50,0.00,1.80,8.90,0.55
3200,350,2.50,6.80,2.90,1.90,3.70,1.30,9.10,0.77
5760,500,0.30,9.60,1.30,0.20,6.60,1.00,0.60,0.91
3840,50,7.00,2.30,6.00,3.00,0.20,5.80,2.30,0.56
5120,400,8.70,1.40,9.00,6.00,1.10,1.50,8.90,0.55
1920,250,5.40,9.20,9.40,0.60,4.10,1.50,0.80,0.75
5120,400,2.80,6.70,3.60,1.20,6.50,1.50,6.20,0.98
4480,250,1.90,4.20,2.80,0.80,1.50,1.10,7.10,0.61
5760,400,5.60,3.10,5.40,4.10,1.60,3.30,4.90,0.56
6400,300,1.20,2.40,0.70,0.80,1.80,0.70,2.90,0.71
1280,500,3.40,6.40,4.30,0.00,1.10,2.90,9.10,0.68
5120,200,6.00,4.70,4.90,0.10,0.60,2.70,6.00,0.85
2560,300,2.20,1.00,2.30,2.10,0.90,0.40,5.50,0.87
1920,350,4.20,5.00,3.00,1.40,2.30,0.40,9.80,0.80
4480,450,2.60,2.40,2.00,0.90,0.30,1.40,2.50,0.54
1280,50,5.30,8.90,7.30,3.50,2.90,1.10,9.50,0.93
2560,250,9.60,5.90,5.00,2.40,2.90,1.30,7.40,0.92
4480,100,0.70,9.80,9.10,0.20,8.10,4.30,7.50,0.94
5760,300,0.20,2.40,8.00,0.10,1.30,0.40,4.00,0.57
4480,250,5.70,4.40,9.80,5.20,0.60,6.60,7.20,0.83
1920,300,6.40,1.90,1.00,3.80,0.60,0.90,5.40,0.62
1920,150,4.00,5.40,2.50,0.10,0.30,2.40,0.60,0.51
5760,350,4.90,9.30,3.60,1.60,6.40,2.20,6.80,0.90
4480,100,2.50,5.90,6.10,2.30,4.90,2.80,7.50,0.82
3840,150,1.60,5.20,2.50,0.00,0.40,0.40,9.50,0.57
5760,400,3.60,1.00,2.60,2.50,0.50,1.10,2.60,0.82
5120,250,1.60,0.90,6.80,1.10,0.20,0.40,5.30,0.69
3840,200,8.90,5.60,5.90,6.70,4.30,3.10,3.70,0.74
2560,50,4.10,6.00,1.80,3.30,4.50,1.00,4.80,0.92
4480,100,0.50,2.80,2.90,0.30,2.30,1.40,0.30,0.88
640,400,7.60,7.50,0.20,6.30,6.60,0.10,6.30,0.61
5760,250,6.10,4.20,0.90,3.80,3.00,0.80,6.90,0.68
640,250,2.00,5.50,7.60,1.80,2.70,5.10,3.10,0.66
5120,500,1.70,4.10,1.40,0.40,0.80,0.70,7.80,0.69
3840,300,5.90,8.20,2.20,5.10,0.10,1.00,7.40,0.68
3200,150,3.60,2.10,9.30,0.50,0.90,0.20,2.20,0.52
2560,450,0.10,2.30,3.60,0.00,1.80,3.20,2.50,0.66
3840,100,9.00,1.20,9.50,5.60,0.30,4.30,7.80,0.66
2560,500,2.70,9.20,6.10,1.40,0.20,1.50,7.70,0.58
3840,350,3.40,4.10,4.50,0.50,2.90,3.90,8.30,0.94
1280,150,2.60,4.90,4.00,1.00,4.50,0.90,7.10,0.71
3840,500,8.30,2.40,2.70,1.30,2.40,1.40,4.30,0.89
1280,50,5.30,2.00,5.50,1.20,0.30,5.00,7.00,0.60
5760,100,1.90,2.00,6.70,1.70,1.80,4.30,2.70,0.66
3200,450,0.90,1.60,6.20,0.90,0.30,5.70,7.10,0.56
