particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
640,100,6.70,8.20,7.40,5.50,0.60,3.10,6.00,0.84
1920,450,8.60,2.00,5.60,5.00,1.60,3.90,0.60,0.56
1280,150,9.40,5.40,7.90,4.60,2.60,1.30,2.20,0.67
5760,350,7.20,6.10,1.60,1.00,4.90,1.40,7.60,0.84
5760,350,3.00,4.60,5.50,2.30,3.90,4.90,7.10,0.70
1920,250,2.40,9.00,8.80,1.10,7.20,4.20,1.50,0.97
3840,400,3.40,6.70,9.50,1.60,3.90,6.80,3.40,0.66
1280,250,8.00,1.80,5.20,0.50,0.10,4.20,1.70,0.76
3200,250,6.30,5.90,5.30,3.30,3.60,1.20,4.70,0.85
4480,50,7.70,2.90,1.50,5.00,1.20,1.30,4.80,0.66
5760,400,8.30,1.00,9.80,1.20,0.40,6.40,7.20,0.51
6400,300,8.80,4.60,3.10,0.40,0.70,0.20,8.50,0.73
5120,400,7.20,3.60,7.00,0.50,0.40,3.00,8.50,0.76
3200,250,1.20,8.50,9.10,0.70,5.70,7.10,9.50,0.53
6400,450,0.40,7.00,9.50,0.30,5.60,2.10,6.80,0.94
3840,450,2.50,1.10,6.70,1.30,0.50,2.60,8.30,0.73
1920,500,1.00,9.90,4.30,0.40,2.10,1.10,1.30,0.53
2560,350,0.30,1.60,1.90,0.20,1.10,0.50,5.10,0.58
2560,500,9.20,4.30,1.20,6.60,1.20,0.30,9.60,0.68
1920,500,0.90,0.70,1.30,0.70,0.10,0.80,9.40,0.73
2560,500,4.50,6.70,2.80,0.60,5.70,1.30,2.50,0.64
1280,450,3.10,7.60,4.20,0.10,5.90,3.70,9.70,0.58
3840,400,1.40,7.10,3.10,0.70,6.40,1.60,9.90,0.71
2560,200,1.20,9.40,8.80,0.50,5.20,5.00,8.00,0.82
4480,200,2.90,6.10,0.20,2.50,1.50,0.10,8.20,0.94
5120,100,6.00,7.00,9.10,3.70,1.40,4.80,5.10,0.72
5120,250,7.00,6.10,3.10,4.50,5.50,0.60,3.80,0.90
4480,450,5.90,7.70,9.80,2.30,4.90,5.30,5.50,0.63
5120,100,6.70,9.30,1.20,1.10,7.90,0.20,8.60,0.90
2560,250,3.80,2.30,7.90,3.80,0.50,6.10,6.90,0.89
2560,100,5.80,8.40,7.60,3.10,5.90,1.50,3.40,0.75
2560,250,8.00,4.30,3.20,1.30,0.40,1.80,1.90,0.90
5760,350,2.00,3.40,7.80,0.60,0.50,1.60,0.70,0.74
640,100,3.20,2.40,9.90,1.40,2.10,0.70,4.30,0.98
1920,350,7.00,1.20,7.10,5.60,1.00,1.90,0.60,0.66
3840,150,8.40,1.70,2.60,3.60,0.60,0.80,2.50,0.72
3200,400,7.30,5.30,3.50,0.20,1.50,1.30,3.10,0.69
3840,100,5.80,6.30,3.10,4.40,1.20,0.50,9.70,0.97
2560,50,7.30,5.30,9.40,1.70,3.20,1.10,1.70,0.63
5120,250,6.30,0.20,4.00,1.90,0.20,2.00,4.70,0.69
1920,150,3.80,0.70,4.20,0.40,0.70,0.80,2.30,0.70
3200,450,4.20,2.10,9.60,1.10,0.90,0.90,9.50,0.54
1280,450,1.50,0.70,0.40,0.20,0.20,0.30,2.60,0.53
1280,350,2.10,3.10,10.00,0.20,0.30,8.20,1.20,0.84
6400,250,7.50,6.00,6.20,3.90,2.90,2.70,5.30,0.87
1280,100,5.50,3.00,6.10,4.50,2.90,5.50,4.50,0.75
1280,150,5.70,1.90,6.90,2.40,0.70,3.20,2.40,0.66
5760,300,6.50,5.00,5.30,2.50,2.90,3.20,5.60,0.62
5760,250,7.60,5.20,4.80,6.70,4.10,2.90,7.40,0.84
5760,150,5.40,5.30,6.40,0.80,5.10,4.80,6.60,0.63
5760,200,9.10,2.50,5.50,1.90,2.10,2.50,2.10,0.89
2560,400,7.70,6.00,6.10,2.00,3.60,2.00,5.40,0.93
640,400,5.50,2.90,5.50,2.00,0.00,5.30,8.80,0.74
1920,50,1.30,8.90,6.30,1.20,8.30,6.20,9.90,0.56
3840,300,8.20,10.00,4.40,5.30,4.20,1.80,1.40,0.96
3840,250,4.00,2.60,2.30,0.40,0.10,1.50,7.70,0.86
4480,150,0.40,8.20,3.20,0.20,4.20,0.90,0.50,0.58
1920,450,10.00,2.80,4.70,5.00,1.20,3.30,5.70,0.52
4480,400,3.90,0.70,1.20,0.40,0.50,0.30,6.30,0.97
640,450,2.20,1.30,0.90,0.40,1.10,0.40,5.80,0.93
6400,150,2.00,4.90,10.00,0.70,1.70,1.80,9.70,0.86
1920,150,0.90,8.60,6.40,0.40,6.60,3.80,6.70,0.74
640,400,8.10,3.30,4.30,5.50,1.30,0.60,3.00,0.79
3840,450,0.40,4.00,7.20,0.10,0.50,1.80,1.90,0.80
1280,450,4.80,1.40,0.50,4.70,0.40,0.40,0.40,0.83
640,300,8.70,2.70,8.40,4.80,1.70,8.10,0.90,0.63
2560,150,8.20,6.90,0.40,1.90,5.40,0.20,4.10,0.54
640,450,7.10,7.10,4.20,3.80,4.30,2.60,0.30,0.86
5760,200,9.70,3.10,1.80,9.50,1.70,1.70,6.70,0.51
5120,150,7.80,4.90,6.20,7.50,2.60,4.90,2.50,0.74
3840,150,4.30,7.80,3.80,3.40,2.60,2.50,3.00,0.79
5760,350,2.20,3.80,9.00,0.40,0.50,5.80,6.50,0.92
4480,200,7.50,6.00,9.30,2.20,3.00,4.20,8.80,0.52
4480,450,8.00,5.90,1.70,2.70,0.20,0.80,2.80,0.91
1280,250,9.40,7.30,7.10,5.10,5.00,4.40,7.10,0.67
5760,400,4.20,3.00,8.00,2.70,2.90,6.20,2.00,0.67
5760,150,1.20,7.80,1.90,0.00,0.50,0.20,9.10,0.67
2560,400,1.00,0.80,9.20,0.20,0.80,0.60,4.80,0.55
5120,200,9.70,2.60,2.00,6.90,0.60,0.90,3.60,0.60
5760,150,7.20,2.90,8.00,3.10,2.70,5.80,7.20,0.72
1920,450,6.00,3.10,2.00,3.80,2.60,1.40,9.30,0.97
1920,100,3.30,5.10,9.20,0.90,0.50,8.30,4.20,0.64
1280,450,5.20,1.40,5.80,0.80,0.40,4.50,6.60,0.99
1920,500,9.30,4.30,3.30,0.30,0.90,1.00,8.40,0.63
5120,450,7.90,5.60,9.80,0.80,0.90,2.40,8.90,0.65
4480,350,3.10,2.20,9.20,1.10,1.50,0.60,0.40,0.70
1920,50,9.30,2.60,2.60,7.60,1.50,0.90,9.60,0.58
3200,450,2.60,1.20,1.60,2.40,0.70,0.70,6.80,0.51
3840,450,5.20,3.20,9.90,1.00,1.80,4.60,6.10,0.78
1280,400,5.70,1.70,5.40,2.70,1.50,4.30,4.80,0.61
1920,200,8.00,7.40,1.90,3.00,6.90,1.10,6.40,0.93
3840,350,6.60,1.80,9.80,5.10,0.80,3.00,0.40,0.71
1920,350,5.20,6.20,1.30,1.40,3.90,0.60,0.50,0.89
6400,450,3.30,6.30,8.90,2.80,5.70,6.40,5.60,0.74
3200,100,9.90,1.10,2.30,0.40,0.80,0.20,3.30,0.84
3840,300,4.50,4.80,6.60,1.60,2.60,3.30,7.30,0.87
2560,400,0.30,4.10,4.40,0.10,3.20,2.40,3.50,0.94
2560,300,7.80,1.20,0.20,2.50,0.70,0.10,3.70,0.82
1920,50,0.60,0.70,8.90,0.00,0.00,1.40,7.10,0.97
5120,400,8.60,9.80,0.20,4.50,1.20,0.10,1.10,0.70
