particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
5760,250,9.40,7.30,8.60,8.50,4.30,6.30,2.10,0.82
2560,100,2.80,6.20,3.40,2.30,2.30,1.50,1.10,0.50
6400,450,6.50,0.30,1.60,1.10,0.20,0.60,3.80,0.60
3200,50,2.70,7.80,8.70,2.50,4.50,7.20,0.10,0.80
4480,50,9.00,1.90,3.30,5.20,0.20,3.00,6.40,0.89
3200,450,5.60,3.90,6.60,0.30,1.50,4.80,3.70,0.99
1920,100,0.90,3.40,9.90,0.80,0.40,2.90,7.50,0.81
2560,350,7.70,0.90,2.20,3.50,0.20,0.80,3.20,0.93
4480,450,9.60,9.40,7.70,5.50,8.60,3.00,1.00,0.72
6400,450,3.80,6.00,1.00,2.20,1.10,0.40,9.20,0.81
3840,350,1.90,7.90,8.80,0.10,7.40,6.10,6.30,0.56
3840,200,1.70,9.80,2.50,1.30,6.70,1.30,0.80,0.86
3200,350,7.60,0.40,8.40,5.10,0.20,7.70,9.20,0.93
5760,50,3.20,2.30,2.80,1.20,0.40,2.10,0.60,0.59
5120,300,8.40,0.80,3.40,5.10,0.30,2.50,6.80,0.95
2560,100,1.00,8.40,4.10,0.40,6.90,2.00,2.20,1.00
1280,400,2.70,8.10,2.40,2.60,0.10,0.10,3.70,0.64
1920,300,2.60,1.70,6.60,2.00,1.10,0.60,5.40,0.83
1920,250,1.00,9.00,4.20,1.00,1.40,2.30,7.10,0.65
3200,150,3.40,8.60,7.50,1.00,8.50,5.40,2.20,0.78
3840,300,2.40,3.20,9.20,0.70,1.70,7.70,8.50,0.68
640,150,5.90,1.70,3.90,1.10,1.70,0.60,5.20,0.57
5760,400,1.70,8.50,0.90,0.80,0.00,0.20,3.50,0.57
5760,150,6.60,9.40,4.50,4.70,3.40,0.80,3.90,0.81
1280,150,0.60,7.80,5.90,0.00,4.80,4.10,5.20,0.68
5120,100,4.10,9.80,4.30,3.30,1.10,3.00,1.30,0.90
1920,150,3.20,7.50,5.60,2.80,2.70,3.20,2.40,0.57
5760,350,1.80,4.40,3.60,0.60,1.50,3.40,6.60,0.87
2560,250,7.50,6.20,6.40,6.80,4.50,6.00,8.00,0.53
5760,450,2.00,5.70,5.30,0.10,4.50,1.30,8.40,0.93
1280,250,0.10,7.20,2.00,0.10,5.90,0.60,8.10,0.58
5760,100,4.50,5.90,9.90,3.80,0.40,4.30,0.80,0.55
4480,250,3.60,9.60,7.00,0.20,8.20,5.30,9.30,0.82
3840,200,2.80,2.90,6.10,2.10,2.30,4.30,0.90,1.00
5120,100,6.00,5.00,5.40,3.00,1.50,3.20,0.40,0.81
3840,100,2.10,0.70,3.00,1.50,0.10,2.00,5.70,0.54
3200,400,4.70,6.00,1.40,0.30,3.20,1.00,7.30,0.73
6400,200,8.80,8.90,4.30,3.70,6.50,3.60,2.80,0.78
4480,450,7.40,10.00,5.80,4.60,0.90,0.70,8.30,0.92
4480,250,6.30,1.80,3.80,4.20,1.00,0.80,7.80,0.78
5120,450,3.10,4.80,9.10,2.10,1.80,4.80,3.80,0.87
4480,250,4.80,0.60,7.30,4.40,0.40,2.80,1.90,0.78
5760,50,5.40,1.10,4.70,5.10,0.10,0.60,6.10,0.87
5760,150,6.90,9.40,0.20,6.80,4.00,0.20,2.20,0.83
5120,300,6.90,8.90,2.40,2.70,5.20,1.40,7.20,0.83
3840,250,0.20,5.90,0.30,0.20,5.10,0.10,7.90,0.70
2560,400,5.70,7.50,3.00,5.20,6.50,1.90,0.50,0.52
2560,500,6.00,8.10,0.90,4.70,4.80,0.10,8.20,0.60
2560,100,5.00,2.80,7.20,4.40,1.50,4.30,4.90,0.52
3200,250,9.90,8.20,4.00,8.30,5.90,3.50,8.30,0.88
1280,200,8.30,5.00,4.70,2.80,1.50,4.70,5.90,0.88
3200,350,2.10,1.30,7.90,0.80,0.80,0.10,1.40,0.66
2560,350,8.80,7.00,8.00,2.40,6.70,1.10,5.50,0.56
640,250,8.40,4.80,6.30,5.10,3.70,6.20,3.80,0.80
2560,50,3.60,1.90,6.00,0.50,0.70,2.20,9.40,0.86
5760,300,9.00,8.40,2.10,6.70,6.40,0.50,2.90,0.85
640,350,2.20,4.50,4.90,1.90,1.20,0.20,6.20,0.88
2560,200,1.90,8.10,6.80,0.80,0.50,0.30,3.50,0.95
1920,350,5.60,3.90,6.20,0.40,1.40,5.50,5.80,0.62
2560,350,8.50,7.60,6.00,5.30,4.20,0.80,3.10,0.93
1920,200,7.40,4.20,7.30,5.70,3.90,0.40,5.80,0.88
2560,300,5.90,5.30,9.80,1.20,2.20,3.30,0.50,0.75
1920,50,3.30,0.10,7.90,1.20,0.00,2.60,2.10,0.83
6400,150,0.50,6.70,0.40,0.20,2.70,0.10,9.30,0.57
5760,150,7.10,4.30,2.00,6.60,0.70,1.10,8.70,0.66
