particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
3200,400,9.40,1.40,8.00,1.00,1.00,7.00,1.20,0.81
5120,450,7.50,9.90,3.70,1.60,3.00,1.20,1.90,0.74
3200,150,5.50,7.50,6.00,3.80,2.50,2.70,9.60,1.00
3840,200,0.90,9.90,0.30,0.40,7.60,0.10,8.50,0.97
5120,300,0.10,0.30,7.40,0.10,0.10,2.90,6.00,0.60
4480,300,6.30,7.00,7.80,5.60,6.30,7.70,5.30,0.62
3200,450,1.90,1.90,9.20,1.60,1.30,7.50,2.30,0.68
5120,150,7.80,5.00,7.00,5.10,2.30,5.00,6.10,0.85
1280,100,1.00,7.10,1.30,0.70,3.60,0.20,0.70,0.88
640,500,0.80,4.70,2.80,0.40,2.40,2.40,8.10,0.91
5760,350,0.10,2.50,9.80,0.00,0.30,7.90,6.30,0.70
3840,250,0.20,0.30,9.00,0.10,0.10,3.20,2.70,0.97
2560,450,6.80,3.50,7.70,1.30,0.30,2.50,7.40,0.80
6400,300,6.10,1.60,6.30,1.20,1.20,0.60,7.40,0.97
5760,200,0.20,8.40,9.50,0.10,0.30,2.50,10.00,0.91
4480,250,1.10,4.50,9.60,0.90,1.30,5.40,1.10,0.78
1920,250,4.50,5.40,9.40,3.10,2.70,0.60,1.40,0.77
6400,250,3.30,2.70,4.10,1.30,0.60,0.50,9.70,0.67
3840,300,0.50,0.70,5.00,0.40,0.30,2.30,1.90,0.69
4480,500,8.40,7.00,0.30,8.20,1.40,0.30,0.50,0.72
3200,200,1.40,1.60,7.10,0.00,0.50,4.30,1.80,0.95
2560,400,3.40,9.90,6.00,3.20,7.50,5.80,5.00,0.76
4480,50,2.40,4.50,2.80,0.20,2.10,1.60,4.80,0.83
5760,50,2.10,4.80,0.40,0.40,1.40,0.40,2.70,0.94
5760,400,8.20,0.50,6.80,3.40,0.20,5.70,9.80,0.87
5120,400,2.90,3.60,2.80,1.80,0.70,2.10,0.20,0.60
2560,100,4.50,8.40,2.10,3.90,8.20,1.90,5.60,0.58
5120,200,8.10,7.00,4.10,5.30,3.10,1.60,8.30,0.50
4480,350,3.70,5.70,1.30,0.20,2.40,0.20,6.10,1.00
4480,200,2.30,8.40,0.50,0.90,0.40,0.40,6.10,0.81
