particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
2560,100,9.80,8.90,9.60,8.90,7.70,3.40,4.20,0.82
1280,450,1.60,4.40,7.00,0.20,2.70,2.00,0.60,0.81
3840,200,6.70,9.10,0.30,3.70,6.20,0.20,4.70,0.72
5120,500,4.60,8.70,3.20,1.90,4.20,1.60,4.30,0.52
3200,250,6.20,4.50,7.20,1.20,0.00,4.20,9.00,0.75
3840,450,4.90,5.60,5.40,3.60,5.20,4.50,8.10,0.54
5760,150,8.70,5.60,2.20,0.80,3.70,0.00,5.40,0.70
4480,450,8.50,0.80,4.90,4.90,0.20,4.00,3.00,0.74
1280,250,7.20,7.40,7.30,0.80,4.80,4.10,3.90,0.95
3840,250,4.20,8.60,7.90,4.00,3.10,2.80,6.90,0.64
3200,400,6.90,7.70,6.50,1.40,6.40,4.00,6.40,0.74
1920,200,9.10,9.20,5.00,2.60,3.20,4.20,6.10,0.50
2560,200,5.80,7.40,0.20,3.80,1.50,0.20,6.80,0.99
3200,150,1.20,9.20,8.70,0.10,6.50,4.30,9.00,0.90
2560,400,0.80,5.50,0.40,0.60,2.10,0.30,5.60,0.85
5760,350,9.80,1.30,5.70,9.60,1.20,5.30,9.90,0.91
5120,500,4.10,6.00,4.70,2.30,1.10,0.30,9.90,0.54
2560,350,1.90,4.90,1.80,0.60,1.50,1.20,9.50,0.54
6400,250,1.40,4.80,2.70,0.10,2.50,1.30,2.70,0.84
1920,300,0.40,6.30,10.00,0.10,0.40,8.30,0.70,0.96
2560,450,9.30,0.40,0.30,4.80,0.30,0.10,5.40,0.64
5760,250,8.50,3.60,5.30,2.90,2.00,0.30,2.60,0.84
1920,350,6.80,7.20,2.40,5.10,6.60,2.30,8.50,0.89
1280,400,7.70,8.80,5.40,1.00,3.10,1.80,2.80,0.70
1920,350,2.10,7.10,9.00,1.00,5.80,2.20,9.10,0.91
3840,150,8.10,9.50,2.80,6.30,3.30,0.50,1.50,0.57
3200,200,5.00,2.50,5.30,1.70,0.20,1.90,4.00,0.67
3200,300,5.30,6.70,8.70,0.00,5.80,5.30,7.80,0.74
3840,100,3.60,9.20,8.40,0.70,8.40,3.70,4.70,0.82
640,200,8.60,8.60,4.10,7.50,8.00,2.30,1.00,0.86
3200,350,2.50,0.30,3.10,0.50,0.20,2.70,1.10,0.79
5760,250,5.30,6.90,8.10,1.90,2.00,5.20,3.60,0.79
6400,150,5.80,8.50,2.10,1.10,1.00,2.00,1.00,0.89
2560,450,7.00,4.30,8.80,2.30,2.60,0.60,9.80,0.76
4480,350,4.10,8.60,2.80,2.70,3.80,0.90,10.00,0.53
3200,150,7.10,8.40,1.90,4.40,5.50,0.90,2.30,0.89
1920,100,9.20,1.20,7.40,4.90,0.80,3.90,4.00,0.96
4480,300,9.40,7.90,2.10,8.50,2.80,0.30,0.30,0.95
6400,150,3.50,2.10,6.10,1.00,2.00,4.90,9.60,0.79
5760,250,0.80,8.00,5.00,0.10,6.20,1.80,2.60,0.55
640,400,7.70,6.70,8.60,6.40,1.20,2.50,6.90,0.57
1280,400,2.70,7.10,6.30,1.90,1.40,4.00,6.40,0.87
2560,150,1.90,0.30,2.60,1.30,0.20,0.20,1.60,0.53
1920,500,7.50,2.70,9.00,5.70,0.10,2.00,0.80,0.71
3840,100,2.10,4.30,6.50,1.00,3.00,5.50,6.00,0.83
640,250,2.20,6.40,2.70,1.20,1.50,0.20,5.90,0.61
5760,200,5.00,0.40,9.00,4.40,0.20,5.80,3.50,0.55
5760,100,9.10,9.20,3.90,4.50,7.50,2.70,9.80,0.98
3200,450,3.20,6.20,9.40,0.60,0.30,8.20,9.80,0.68
5120,300,4.30,7.60,9.10,3.70,4.60,0.00,1.90,0.61
4480,450,6.80,9.10,6.20,3.30,7.70,5.20,8.60,0.65
1920,250,8.30,8.70,8.50,0.10,6.10,3.90,1.30,0.66
