particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
2560,150,7.90,1.40,8.20,5.80,0.60,1.80,5.80,0.52
640,300,8.50,1.30,8.20,5.00,1.30,7.80,4.70,0.99
5760,350,6.60,5.40,0.10,1.40,4.00,0.10,4.30,0.99
1280,400,9.30,0.60,9.80,6.00,0.60,2.80,5.80,0.99
4480,350,2.70,1.50,0.50,2.60,1.40,0.40,3.80,0.76
3840,300,2.30,4.80,8.30,1.70,2.10,6.80,3.20,0.82
2560,300,5.80,8.10,4.20,3.90,3.30,3.40,5.20,0.77
3840,250,1.20,1.60,5.30,0.30,0.30,1.30,4.50,0.71
640,450,2.50,3.00,1.70,2.50,0.70,0.60,5.10,0.59
4480,450,9.90,2.10,10.00,5.90,0.00,9.50,9.10,0.57
3200,450,9.80,2.70,9.60,5.60,2.40,2.00,2.20,0.99
2560,200,9.90,7.60,0.80,1.20,1.80,0.00,2.90,0.94
1280,250,4.30,7.20,3.70,1.50,6.50,1.90,1.00,0.56
3840,450,8.50,0.40,3.60,3.60,0.40,1.80,2.40,0.54
3840,50,1.50,0.60,8.60,1.50,0.30,7.40,5.70,0.64
3840,150,4.70,5.40,4.20,4.60,5.10,0.90,4.40,0.93
3200,250,4.60,8.70,6.10,2.90,8.30,4.40,9.70,0.88
1280,300,1.80,4.20,6.00,1.40,2.20,5.30,8.70,0.99
6400,250,2.80,6.20,9.00,2.70,4.20,0.90,0.90,0.58
1280,100,0.40,6.80,8.10,0.40,4.90,1.60,7.40,0.57
4480,200,2.00,6.10,7.70,0.30,0.90,1.90,7.90,0.77
3200,350,3.50,5.40,3.00,2.90,0.90,1.80,5.90,0.66
3840,100,1.60,2.00,2.90,0.50,1.60,1.80,5.70,0.79
3200,200,7.20,8.30,6.40,5.70,6.50,4.70,5.70,0.62
1920,400,7.20,5.20,3.70,4.10,4.50,2.10,0.10,0.52
3200,150,8.40,4.80,3.00,5.60,1.50,0.20,9.10,0.68
6400,300,6.90,4.30,1.90,2.20,1.80,0.00,5.20,0.80
6400,300,8.60,7.00,8.70,1.60,6.70,1.50,1.70,0.63
2560,250,7.10,7.90,6.20,5.00,7.20,4.90,9.70,0.51
3200,150,1.60,5.90,8.70,0.20,0.30,8.10,5.90,0.59
6400,100,3.10,0.80,8.30,1.30,0.30,7.50,5.40,0.54
640,400,8.70,8.90,8.10,4.20,2.50,5.80,1.30,0.88
1280,400,3.70,8.50,6.60,2.90,3.90,1.90,8.20,0.84
3840,300,6.00,9.80,7.70,0.80,4.70,4.20,9.60,0.83
6400,350,5.90,3.40,9.70,3.30,1.00,9.10,8.00,0.52
2560,100,1.70,0.80,5.10,0.20,0.30,1.70,4.10,0.67
2560,200,1.90,1.50,1.50,1.70,0.70,0.40,6.80,0.67
1280,200,5.40,7.50,5.00,3.20,1.70,3.40,6.70,0.77
5760,250,3.50,8.30,3.00,0.70,0.60,2.20,4.60,0.56
1920,250,6.80,3.60,2.50,6.20,0.80,1.30,1.30,0.55
3200,450,4.60,4.90,0.60,0.30,0.70,0.40,5.40,0.66
640,300,4.90,5.10,1.90,4.10,0.10,1.10,4.20,0.57
1280,300,6.60,9.20,3.10,4.60,0.60,1.20,0.40,0.77
640,500,0.40,0.50,2.20,0.20,0.30,1.60,6.20,0.88
4480,300,4.00,4.40,6.70,2.00,2.80,1.30,5.10,0.61
3200,400,8.40,5.70,6.60,6.90,1.90,4.60,2.80,0.72
4480,400,4.20,9.00,5.20,1.10,8.20,0.50,6.20,0.94
1920,100,1.90,4.80,1.20,1.20,1.60,0.10,1.00,0.69
5760,300,9.60,8.30,1.90,3.80,6.30,0.60,6.70,0.83
6400,350,0.60,7.50,8.10,0.40,4.50,1.50,4.20,0.57
5120,350,3.80,8.80,4.70,1.00,0.10,3.10,6.10,0.75
5120,500,5.90,9.00,10.00,3.60,6.60,9.90,3.30,0.54
