particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1280,150,9.60,1.20,1.60,8.60,0.40,0.50,0.30,0.74
5120,450,4.50,3.50,1.90,2.80,1.70,1.00,2.00,0.80
3840,450,3.40,6.10,5.30,2.40,0.20,1.40,1.80,0.95
3840,200,8.90,1.60,5.20,1.90,1.20,4.70,2.10,0.60
1920,300,1.80,2.50,5.80,0.60,1.00,2.30,2.60,0.94
2560,250,6.40,4.80,0.30,2.90,3.10,0.00,2.00,1.00
2560,50,5.70,1.30,6.60,5.00,0.90,0.50,3.10,0.90
5760,400,4.80,6.30,4.50,2.50,6.00,2.30,7.30,0.72
3840,50,2.20,3.00,5.10,2.10,1.70,5.10,0.50,1.00
5120,400,7.40,7.80,2.80,5.60,3.80,0.10,9.00,0.83
640,100,1.30,4.50,4.60,0.60,2.00,2.40,8.70,0.91
3200,450,5.10,5.60,9.50,4.90,4.70,4.50,1.80,0.89
1280,50,6.30,7.70,9.60,0.00,2.10,8.60,1.60,0.67
640,300,1.60,2.90,9.10,0.40,0.50,3.60,5.60,0.65
5120,200,6.10,2.30,0.80,5.60,1.30,0.60,1.20,0.70
5120,450,0.70,5.80,2.20,0.60,2.90,0.50,5.10,0.88
2560,50,9.00,6.70,9.70,1.20,6.40,6.10,8.00,0.97
5120,400,2.40,6.50,0.50,1.40,2.50,0.00,7.00,0.90
5120,250,2.40,0.50,1.70,1.80,0.40,1.50,5.00,0.99
5120,150,9.90,6.40,4.10,4.50,4.00,1.70,7.20,0.72
5120,100,5.70,9.50,7.80,5.00,6.20,3.10,4.90,0.80
1280,150,5.10,0.90,6.50,2.50,0.20,4.00,5.80,0.72
3200,300,0.40,9.40,0.90,0.10,7.80,0.20,7.80,0.74
5120,200,4.00,2.60,1.30,2.20,0.20,1.20,6.00,0.88
640,150,9.80,6.10,2.70,8.00,0.90,2.30,4.60,0.55
1280,300,7.20,0.90,7.10,1.80,0.10,1.20,3.40,0.57
3200,150,7.80,4.90,8.50,6.00,1.80,3.50,0.70,0.50
5120,100,1.20,2.70,7.70,1.00,2.30,6.20,9.90,0.95
1280,100,5.30,5.50,5.90,1.90,4.30,5.70,5.60,0.79
1920,450,2.60,2.60,6.40,0.70,1.00,0.40,0.80,0.75
640,450,3.70,1.10,8.20,2.60,0.50,5.50,3.50,0.63
3200,450,9.60,9.90,7.80,4.80,8.80,1.70,0.70,0.54
640,300,4.50,4.00,2.30,0.40,0.70,0.60,8.70,0.51
3840,400,0.80,5.10,2.60,0.30,0.90,1.40,4.10,0.79
1280,150,1.70,0.60,4.60,0.30,0.50,0.20,8.30,0.72
5120,50,5.60,5.00,3.70,4.50,4.60,2.70,1.70,0.78
6400,350,4.20,8.10,1.10,4.00,5.80,0.90,8.10,0.81
5760,150,8.10,2.80,9.20,0.00,2.00,0.70,4.30,0.71
5120,500,7.80,4.80,8.30,1.90,2.70,0.20,9.90,0.75
1920,300,0.80,6.20,4.60,0.40,3.10,1.40,4.70,0.70
1280,200,9.70,5.40,3.20,4.60,2.80,2.80,7.60,0.93
640,350,8.10,4.60,3.60,4.90,3.70,2.60,1.30,0.87
1280,400,8.90,4.00,9.70,7.10,1.90,3.40,4.10,0.76
5120,100,8.70,1.50,9.60,1.20,0.90,4.00,5.30,0.80
5120,250,9.20,3.00,7.70,4.10,1.20,0.70,2.40,0.86
5760,200,1.80,7.90,3.10,0.50,7.20,0.10,4.80,0.86
4480,350,7.10,7.50,4.60,2.90,3.10,3.20,7.10,0.61
640,450,2.70,3.80,1.10,1.90,0.90,0.70,4.30,0.61
1280,250,3.90,5.50,9.70,1.60,4.60,6.70,4.80,0.63
1280,50,3.80,3.00,7.70,1.70,2.60,6.70,5.90,0.53
5120,100,9.10,3.50,5.40,6.50,1.80,2.60,0.80,0.75
1920,100,7.00,8.90,0.10,3.00,1.60,0.10,5.30,0.61
1280,300,6.50,4.40,2.70,3.60,2.10,2.20,2.00,0.60
1920,250,7.60,5.70,2.20,4.50,5.60,0.10,9.80,0.88
640,500,1.70,0.90,6.70,0.50,0.50,5.20,7.10,0.80
1920,350,1.40,3.70,9.70,0.10,1.10,2.20,6.90,0.65
640,350,7.70,2.20,8.00,2.80,1.20,0.10,9.70,0.53
5760,350,1.30,8.60,6.10,0.10,3.00,3.20,2.80,0.69
1920,500,8.30,1.00,6.70,8.00,0.40,6.50,8.80,0.60
5120,150,6.80,6.60,5.40,2.10,5.90,1.30,3.80,0.68
1280,350,2.30,3.90,0.80,1.80,0.30,0.30,4.60,0.61
1920,200,6.90,5.30,2.90,6.40,5.00,0.40,9.80,0.58
2560,200,9.50,9.30,6.10,0.50,4.70,4.40,5.50,0.56
5760,150,1.10,3.20,4.60,0.10,2.10,2.80,3.30,0.78
3200,500,5.10,6.70,0.50,1.30,6.20,0.20,9.90,0.76
2560,250,7.10,1.80,8.20,6.80,0.20,7.50,7.30,0.51
