particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
5120,300,1.00,3.00,2.20,0.30,0.80,1.90,4.80,0.67
640,300,7.10,5.50,3.70,0.60,1.30,0.50,3.50,0.81
3200,100,3.00,6.50,1.10,1.10,0.60,0.60,0.50,0.89
1280,400,0.90,6.40,5.50,0.80,4.30,0.10,8.70,0.94
4480,450,4.50,7.10,1.20,3.70,3.70,0.40,9.80,0.77
4480,350,10.00,3.00,4.50,6.10,2.70,4.10,3.10,0.83
3200,150,2.10,3.50,5.70,0.90,2.30,5.40,8.00,0.53
4480,300,1.10,9.30,9.30,0.60,8.80,6.70,9.10,0.64
2560,200,6.80,4.10,7.10,6.30,0.30,0.40,6.40,0.50
4480,300,1.00,3.20,0.70,0.30,2.00,0.10,7.40,0.52
5120,100,3.50,9.10,4.20,2.50,4.00,3.20,9.20,0.51
2560,50,2.90,2.00,0.30,2.20,0.20,0.20,8.00,0.57
2560,300,0.60,2.80,2.70,0.60,2.00,0.00,5.90,0.88
4480,200,6.90,8.80,0.30,6.80,6.90,0.00,9.10,0.71
5120,500,0.80,9.70,4.40,0.60,6.80,2.60,0.20,0.97
5760,350,0.60,6.60,2.50,0.00,2.30,0.50,7.50,0.84
2560,300,5.40,6.60,9.40,1.20,5.00,4.90,4.60,0.89
1280,400,6.50,8.00,8.30,4.10,2.50,5.70,3.80,0.83
4480,50,4.40,7.20,1.80,2.10,5.80,0.70,9.30,0.54
1920,200,4.00,7.80,2.30,3.90,7.10,1.80,0.10,0.90
5120,200,3.70,3.90,2.00,2.40,2.40,1.80,0.20,0.92
1280,100,3.00,9.10,0.60,1.00,0.40,0.50,5.50,0.79
2560,500,3.00,9.20,1.00,2.00,7.90,1.00,1.10,0.56
640,300,1.80,7.60,3.40,0.40,4.30,2.00,6.60,0.88
6400,250,4.30,2.40,1.30,1.70,0.00,0.40,2.10,0.95
4480,400,5.20,1.20,3.80,2.80,0.30,1.90,9.00,0.61
3840,150,2.90,7.50,5.50,0.80,6.50,0.70,0.60,0.55
5120,250,5.20,6.00,7.40,0.90,3.90,6.80,2.10,0.72
1920,150,1.70,3.80,2.50,0.60,3.30,1.30,5.10,0.63
6400,400,2.10,3.30,1.50,2.00,1.80,0.90,7.40,0.52
2560,100,4.00,0.80,3.90,3.60,0.20,2.40,8.40,0.65
640,100,5.80,5.50,5.30,3.20,4.40,5.10,9.00,0.58
5120,450,2.40,3.60,1.80,0.20,0.40,0.90,9.50,0.85
4480,100,6.60,3.30,5.70,4.60,2.10,5.20,5.50,0.81
1280,350,8.30,3.90,7.60,5.60,2.10,0.20,7.00,0.93
1920,50,9.60,3.40,1.80,7.10,3.20,1.40,3.20,0.94
640,150,3.20,8.20,0.60,0.70,4.30,0.40,7.80,0.89
1920,450,5.30,6.60,4.20,0.30,3.30,3.10,1.20,0.71
1280,350,2.20,4.80,3.50,1.00,4.00,2.50,6.80,0.86
4480,150,2.30,8.80,3.50,1.00,3.60,0.70,6.90,0.67
3840,500,1.70,0.20,5.50,1.30,0.10,3.50,2.00,0.64
3840,350,4.80,0.80,0.30,4.80,0.10,0.10,8.90,0.72
5760,250,3.70,4.30,9.70,0.90,0.30,1.00,5.80,0.78
640,250,5.30,9.30,0.90,0.90,0.20,0.80,8.90,0.92
1280,450,9.90,6.80,9.20,4.00,4.00,8.90,2.70,0.95
1280,200,5.50,2.30,7.20,0.80,1.60,3.60,8.80,0.51
1920,150,3.10,9.00,6.20,2.00,1.40,1.90,9.60,0.74
4480,500,3.70,1.00,3.10,3.20,0.90,2.20,5.60,0.82
3200,350,5.50,2.00,8.10,5.10,0.70,3.00,6.80,0.70
3200,150,1.20,5.70,1.80,1.20,4.90,1.10,2.00,0.77
3840,400,9.30,2.40,1.00,5.40,0.20,0.80,9.90,0.85
5120,250,8.50,6.40,6.20,6.40,2.90,0.80,4.30,0.83
2560,200,8.70,4.50,5.00,1.80,3.50,2.10,9.70,0.70
5120,100,0.40,0.30,8.30,0.40,0.00,3.50,5.50,0.92
1280,450,7.20,5.70,1.90,5.60,2.80,0.20,9.30,0.97
2560,250,5.90,7.60,1.90,5.70,1.70,1.80,1.40,0.72
2560,50,1.10,3.50,5.10,0.80,0.50,3.80,5.10,0.59
2560,300,0.90,5.90,4.00,0.70,0.60,1.40,1.30,0.70
1280,250,0.40,5.80,8.20,0.10,2.40,1.50,7.30,0.76
5120,100,0.90,5.10,8.60,0.60,2.00,1.20,4.10,0.96
3200,150,5.60,1.20,0.90,4.70,1.00,0.10,7.70,0.70
1920,450,1.30,2.50,0.50,0.10,1.90,0.00,6.70,0.73
3840,150,5.70,5.50,1.40,3.90,1.90,0.50,4.40,0.92
5760,250,3.20,3.90,9.30,2.20,3.50,5.80,8.90,0.56
