particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
5120,100,3.60,6.80,6.90,3.40,0.70,6.70,4.00,0.89
1920,400,6.70,9.50,2.20,2.10,0.90,1.60,1.10,0.86
1920,150,0.30,3.60,1.00,0.00,1.70,0.10,4.70,0.50
1280,150,3.80,1.20,6.00,1.80,0.60,3.00,8.70,0.97
3840,400,8.10,9.40,9.20,7.90,7.00,4.00,7.00,0.64
4480,250,3.40,5.40,3.20,3.00,2.20,2.70,9.80,0.79
5760,100,8.90,9.60,4.80,8.10,2.70,4.80,0.40,0.90
3840,100,8.10,9.00,8.80,7.50,6.00,7.70,3.70,0.95
5120,200,2.00,6.80,7.40,0.10,0.90,4.20,9.50,0.77
3200,400,4.60,7.90,5.50,0.50,2.90,4.40,7.00,0.59
1920,450,2.60,7.00,2.10,1.40,3.00,0.40,0.40,0.57
2560,200,7.50,1.70,6.00,6.00,1.60,3.80,3.20,0.69
1920,300,2.10,6.50,9.60,2.00,4.90,0.40,9.00,0.77
1280,50,0.80,4.20,5.80,0.70,3.70,5.70,9.80,0.90
640,250,6.70,1.10,2.60,5.90,0.60,2.20,9.10,0.93
1920,100,6.60,3.40,7.80,0.40,2.00,1.60,2.60,0.73
5120,350,1.90,2.00,2.50,0.60,0.20,1.60,4.10,0.81
5760,350,8.30,3.70,6.40,6.80,1.50,5.70,5.70,0.65
4480,300,2.70,1.90,3.50,2.10,1.60,1.40,6.30,0.51
5760,200,6.00,3.00,9.30,1.70,2.70,2.00,4.60,0.86
2560,350,4.30,5.60,6.60,2.60,5.60,2.00,9.20,0.72
3840,200,6.40,2.20,2.10,6.00,0.50,0.90,3.70,0.93
5760,100,9.20,9.10,3.80,5.70,5.60,1.30,6.70,0.84
5120,350,6.30,2.60,8.60,4.80,0.80,4.90,3.40,0.55
5760,350,0.80,6.90,5.00,0.20,6.80,3.10,2.90,0.85
3840,100,7.80,9.30,4.40,0.40,9.10,2.70,2.00,0.63
5760,500,9.80,9.60,5.60,8.20,9.30,2.40,2.10,0.61
5120,400,2.10,9.20,1.40,1.20,5.20,0.40,1.40,0.84
2560,200,7.90,4.30,6.90,0.00,0.30,1.50,4.00,0.61
5120,200,9.30,4.10,4.70,7.40,1.20,2.30,3.30,0.64
4480,450,9.60,1.20,0.70,8.70,0.40,0.30,1.10,0.56
1280,400,0.50,8.10,6.40,0.10,2.70,2.00,1.80,0.53
2560,50,3.40,1.20,2.00,0.10,0.40,1.00,4.30,0.98
1280,100,4.90,2.70,5.00,4.60,2.30,3.30,8.50,0.87
4480,450,4.40,2.30,0.20,2.20,0.20,0.00,5.10,0.66
1280,100,5.50,4.80,3.30,1.30,3.00,1.60,0.20,0.90
3200,300,9.30,3.60,1.00,5.70,2.60,0.00,4.30,0.95
1280,250,0.40,3.60,3.00,0.10,1.30,1.10,2.70,0.96
6400,50,1.30,2.20,3.40,0.10,1.40,3.10,8.30,0.91
4480,350,10.00,3.10,0.30,2.00,0.30,0.10,5.50,0.60
1920,400,5.30,4.70,7.40,2.80,0.80,1.50,2.80,0.78
5760,250,0.50,2.80,9.90,0.50,1.20,9.80,1.30,0.57
3840,100,1.50,9.70,2.00,1.30,5.30,2.00,7.80,0.53
3200,100,9.30,5.00,7.00,6.50,2.30,2.00,7.80,0.58
5760,400,2.10,0.70,4.30,1.80,0.60,1.00,4.70,0.61
4480,100,9.60,6.90,9.60,0.60,3.10,3.40,3.30,0.74
3200,450,1.10,6.50,5.50,0.90,4.00,1.30,6.70,0.90
3200,200,1.10,2.00,0.20,0.10,0.50,0.00,1.60,0.59
5760,450,6.60,4.70,4.80,2.50,4.10,0.20,3.80,0.61
1280,150,6.40,4.90,8.70,2.00,1.90,1.80,5.90,0.68
6400,450,6.10,6.50,2.20,1.00,1.00,0.00,4.70,0.77
1280,250,4.00,2.40,3.20,1.20,2.30,0.40,8.10,0.91
5120,350,3.00,6.40,6.40,0.90,0.70,1.60,6.90,0.80
1280,200,1.60,2.50,0.60,0.10,1.00,0.40,6.50,0.62
