particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1920,250,3.60,4.30,4.10,0.80,3.20,2.00,6.00,0.80
4480,400,1.80,8.50,6.30,1.10,5.10,0.10,4.00,0.86
3200,450,0.90,7.30,5.30,0.10,5.20,1.50,7.90,0.92
5120,200,8.60,2.90,0.70,4.70,2.00,0.70,3.50,0.89
3200,250,6.20,5.60,8.50,1.60,4.40,7.90,6.00,0.94
1280,200,4.30,5.50,8.00,3.90,4.30,6.30,7.10,0.91
2560,400,9.50,8.20,8.20,6.50,3.90,1.20,0.40,0.72
3200,250,4.00,4.60,4.00,0.20,1.20,2.20,4.50,0.85
5760,200,6.50,2.70,8.30,6.20,0.10,8.00,1.40,0.75
5760,300,4.60,3.40,4.70,2.30,3.20,3.50,3.20,0.72
3840,300,4.50,3.80,8.00,0.70,3.10,6.50,8.20,1.00
640,150,9.60,7.40,2.90,3.70,0.20,0.30,1.60,0.89
1920,400,3.40,0.60,1.50,1.40,0.10,1.10,4.50,0.59
4480,250,1.80,1.90,2.80,1.70,1.60,0.10,5.60,0.75
3840,300,2.20,0.30,7.70,0.90,0.10,4.10,1.00,0.63
2560,250,6.50,7.80,0.70,5.00,0.00,0.60,2.90,0.55
3840,150,3.50,6.80,4.30,0.60,5.20,3.30,3.80,0.70
5760,200,6.70,7.00,3.90,2.60,4.00,2.40,3.50,0.86
640,50,7.90,9.90,1.70,5.00,9.50,1.00,9.10,0.75
3200,400,3.10,2.40,1.40,0.10,1.60,1.30,3.00,0.55
5760,200,0.20,9.10,5.80,0.10,6.60,4.60,7.20,0.85
4480,450,9.00,1.70,9.40,3.30,1.50,7.80,8.00,0.71
1920,300,0.60,7.20,0.90,0.50,1.60,0.20,3.40,0.87
640,350,5.30,8.00,3.00,4.00,1.30,0.40,4.90,0.97
1280,300,2.70,1.80,6.40,0.10,1.70,5.00,4.40,0.84
1920,400,1.80,1.90,4.80,1.10,1.80,0.80,3.10,0.82
6400,150,6.00,3.70,7.80,3.60,0.50,5.80,0.70,0.76
3200,150,7.10,4.10,4.90,2.70,4.10,1.10,1.90,0.75
2560,200,4.50,5.30,1.20,1.50,5.10,0.90,7.00,0.71
2560,450,2.80,7.90,4.20,0.00,5.80,2.80,7.20,0.59
3840,200,9.50,2.00,3.40,4.30,1.50,0.50,3.70,0.76
6400,450,6.00,0.60,6.60,2.00,0.50,4.60,3.20,0.77
640,450,5.30,6.10,0.20,4.50,5.00,0.00,6.80,0.91
2560,250,0.60,0.90,4.90,0.40,0.60,3.80,8.70,0.57
640,400,8.30,8.40,9.20,4.30,7.00,3.00,8.80,0.74
1920,400,2.50,9.40,9.90,2.40,2.40,6.80,7.60,0.53
5760,350,4.80,5.90,2.70,2.20,1.40,1.90,0.70,0.64
5760,100,3.90,3.30,3.60,2.80,1.90,2.50,7.00,0.88
3200,250,3.00,4.50,1.10,2.00,3.80,1.10,3.90,0.65
5120,100,2.30,3.70,7.90,1.20,0.80,6.50,3.50,0.95
1280,200,3.40,4.00,9.20,0.90,1.90,6.00,3.30,0.96
5760,250,3.50,0.70,9.70,0.20,0.70,2.60,5.10,0.68
2560,450,2.50,0.20,3.30,0.40,0.20,0.90,9.00,0.73
5120,50,4.40,5.00,1.60,1.60,4.30,1.40,2.80,0.81
2560,100,9.70,3.40,0.20,8.00,2.50,0.10,6.80,0.74
2560,300,7.40,4.40,8.60,2.90,2.80,0.90,0.40,0.78
5120,250,4.90,1.40,5.90,2.20,1.10,1.80,1.10,0.85
1920,250,1.10,8.80,1.90,1.00,7.30,1.30,7.90,0.84
4480,200,4.20,1.70,9.80,2.60,0.60,8.40,1.60,0.62
3840,100,2.90,2.20,2.70,0.50,0.20,2.20,3.60,0.69
3200,350,6.50,4.60,1.50,0.80,1.30,1.20,4.10,0.55
3200,200,3.50,4.40,0.60,2.00,0.30,0.00,1.40,0.87
2560,300,9.50,7.30,8.00,4.80,5.70,4.60,8.50,0.79
5120,400,2.00,7.80,9.50,1.00,1.10,5.40,5.20,0.86
3840,150,9.10,3.00,7.60,5.20,2.70,2.40,4.80,0.99
5760,150,3.80,1.40,0.20,1.50,1.10,0.20,4.00,0.64
5760,350,9.80,2.70,3.30,1.40,2.20,1.30,8.90,0.63
1920,300,1.90,1.60,5.70,0.10,1.30,2.30,2.30,0.72
3200,50,0.20,3.80,2.30,0.00,3.50,1.00,9.80,0.69
1280,300,7.40,6.50,3.70,1.40,0.90,3.40,9.50,0.93
5120,450,2.80,4.40,5.60,0.30,1.00,0.90,7.90,0.81
3200,500,2.50,1.40,9.50,2.30,0.30,3.50,4.70,0.98
5760,350,0.20,5.20,5.30,0.20,2.00,3.00,6.10,0.74
5760,300,0.90,8.80,7.20,0.80,2.10,5.70,1.00,0.56
