particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1280,200,8.20,5.60,3.80,5.70,1.80,0.70,4.10,0.64
4480,450,8.10,7.70,5.90,3.60,2.80,1.30,4.40,0.83
2560,200,0.60,9.10,8.90,0.20,3.90,8.50,1.60,0.58
4480,400,5.40,1.90,1.60,1.10,1.80,1.30,2.40,0.79
6400,350,5.80,5.10,8.50,3.90,4.30,6.10,2.00,0.54
1920,500,9.00,9.90,2.70,8.20,7.20,0.80,3.20,0.50
5760,450,6.20,2.50,2.00,4.30,1.10,0.80,4.40,0.63
5120,150,8.00,2.50,0.50,4.90,0.10,0.10,3.60,0.84
1920,50,7.30,7.50,7.10,0.90,4.30,1.60,8.10,0.60
3200,200,5.60,9.40,6.90,1.50,0.10,4.60,8.20,0.65
3840,400,5.50,6.80,6.50,2.10,5.50,4.60,2.80,0.96
3840,300,4.80,2.10,8.10,2.30,1.70,4.20,1.50,0.63
3840,500,1.40,1.50,3.00,1.30,0.30,0.50,9.80,0.93
5120,100,5.60,9.10,9.60,4.80,8.70,5.20,2.80,0.59
2560,250,4.90,7.20,1.80,4.40,0.80,1.10,1.40,0.92
4480,400,5.20,5.60,5.20,2.60,4.00,2.40,1.00,0.91
3840,100,1.40,1.50,9.60,1.20,0.90,9.40,5.80,0.66
1920,200,6.10,4.30,7.80,2.30,2.00,2.00,7.50,0.68
2560,150,6.40,4.00,5.00,5.20,3.80,0.50,4.50,0.58
3840,400,8.10,5.00,5.70,3.00,2.40,3.20,3.60,0.98
1920,150,4.00,6.40,6.80,3.20,4.90,5.90,2.30,0.89
1920,200,9.90,8.40,3.90,3.20,1.70,0.20,4.50,0.52
3200,250,3.60,8.70,1.30,0.30,0.00,0.20,0.50,0.60
3200,100,1.70,8.10,8.40,0.80,6.70,6.10,2.70,0.55
1280,300,0.50,0.40,9.70,0.20,0.10,0.80,8.10,0.83
4480,250,0.70,8.80,2.90,0.70,6.10,1.10,7.60,0.99
5120,200,4.60,2.40,2.40,2.70,2.00,0.20,1.80,0.96
1280,50,4.10,2.60,4.60,4.00,1.90,2.20,4.00,0.66
640,400,4.80,4.40,3.60,3.30,1.10,3.50,6.30,0.71
6400,350,6.40,4.30,9.00,5.40,2.90,7.00,8.30,0.61
2560,300,3.50,4.60,4.00,0.30,0.00,2.30,4.80,0.77
1920,200,6.60,6.30,6.40,2.30,3.40,2.30,0.40,0.70
2560,300,1.30,9.50,7.50,1.10,2.60,4.80,2.50,0.86
640,350,9.40,9.00,6.80,5.70,6.90,5.60,8.40,0.92
2560,400,4.40,1.70,3.20,1.10,0.90,2.80,6.50,0.54
3840,50,3.90,7.90,2.10,3.80,7.10,0.10,0.60,0.81
640,400,2.50,9.40,4.90,2.10,6.20,1.50,7.90,0.82
5120,300,6.30,1.10,10.00,0.70,0.50,6.10,6.00,0.72
3200,300,4.70,2.90,9.40,2.30,2.10,4.50,9.20,0.91
640,100,5.00,3.20,4.90,2.60,1.90,4.60,0.30,0.71
5120,350,8.50,9.80,1.50,6.80,4.10,0.90,2.20,0.98
2560,400,5.10,8.90,4.90,2.80,5.80,1.80,10.00,0.62
4480,400,6.80,5.60,1.80,3.30,2.50,1.40,0.90,0.56
1280,100,6.50,0.80,5.40,6.10,0.70,2.60,7.20,0.93
1280,250,2.30,9.30,3.00,1.30,5.40,2.00,9.10,0.64
2560,450,6.80,2.40,5.00,1.40,1.30,3.50,8.20,0.82
2560,150,2.80,7.50,0.80,2.00,4.20,0.40,7.60,0.80
2560,300,8.20,3.20,6.20,7.20,0.40,3.60,5.90,0.69
1920,150,4.50,0.50,1.10,3.40,0.20,0.50,9.80,0.65
