particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1920,450,8.20,4.00,4.30,8.20,2.60,4.30,7.60,0.79
4480,50,5.00,5.90,2.00,0.80,4.80,1.90,4.10,0.97
5120,200,4.40,8.70,7.10,0.30,0.80,6.80,7.40,0.91
2560,400,3.10,6.30,3.20,2.50,1.80,0.10,3.90,0.60
3840,400,5.80,5.80,1.90,2.20,5.20,0.40,6.20,0.84
4480,150,2.20,8.60,10.00,1.40,3.10,3.40,8.40,0.81
6400,350,2.00,7.90,3.50,1.80,7.70,1.40,3.80,0.78
1920,50,4.80,2.70,8.00,4.10,1.50,0.10,6.70,0.93
5760,50,7.40,1.90,6.70,0.20,0.70,0.90,4.20,0.82
2560,250,0.20,3.50,9.70,0.00,2.30,8.40,1.10,0.98
3840,350,7.10,6.70,7.50,0.90,3.10,4.50,3.70,0.99
3200,50,9.60,1.80,1.60,4.90,0.80,1.20,6.70,0.96
2560,400,8.20,4.00,3.20,3.60,2.90,1.50,1.40,0.92
6400,200,8.10,4.50,0.40,6.80,1.00,0.10,5.90,0.68
640,50,5.90,3.10,2.30,2.20,2.50,0.00,3.30,0.99
4480,300,2.50,4.00,6.20,0.60,1.30,0.70,7.70,0.85
1920,300,1.10,7.30,7.10,0.90,2.20,0.50,6.90,0.68
3200,250,1.70,2.60,7.40,1.70,2.30,5.70,0.80,0.84
6400,350,2.90,7.40,3.30,0.20,2.80,1.30,0.80,0.57
3200,350,6.60,8.30,9.50,3.30,4.40,7.50,1.60,0.84
1280,150,4.80,0.60,4.50,2.60,0.40,1.50,2.30,0.99
4480,150,6.90,0.80,1.60,2.80,0.70,1.00,5.20,0.71
5760,150,6.80,0.90,5.00,6.60,0.30,4.00,2.10,0.94
3200,350,9.70,8.60,4.40,3.20,2.30,1.80,4.90,0.77
6400,250,2.80,5.90,4.80,1.10,2.10,2.20,5.00,0.91
1920,100,0.60,5.80,5.40,0.20,0.80,2.70,8.20,0.54
5120,300,7.60,7.90,3.20,1.30,7.10,1.80,0.30,0.70
2560,300,4.10,6.20,7.20,3.50,4.90,3.70,0.20,0.78
3200,450,2.40,7.00,7.20,0.80,5.30,6.60,8.50,0.72
3200,300,0.20,6.10,4.50,0.20,1.10,3.60,9.40,0.57
5120,150,4.70,2.90,1.80,3.60,1.60,0.30,3.30,0.89
3200,300,5.10,8.20,0.60,1.20,5.00,0.20,4.20,0.78
3840,200,2.60,8.30,1.30,1.50,1.60,0.30,4.40,0.98
6400,450,5.80,9.90,5.10,3.30,7.30,2.70,0.80,0.87
3200,300,3.80,1.80,5.60,0.60,0.40,3.50,8.60,0.61
1280,200,2.70,6.90,6.90,2.40,5.10,3.00,6.70,0.75
3200,50,6.30,5.10,1.70,4.00,3.50,1.50,0.30,0.77
1920,300,0.80,3.20,0.70,0.70,1.60,0.50,1.30,0.89
6400,50,3.50,4.00,3.30,0.60,3.50,2.80,4.50,0.83
1920,150,5.00,9.00,8.10,2.60,2.70,3.90,9.50,0.80
5760,350,0.90,5.90,1.90,0.30,0.40,1.70,6.40,0.75
1920,150,5.80,9.90,5.80,4.20,9.60,0.20,6.60,0.61
2560,100,9.30,2.00,6.50,1.10,0.80,2.60,0.70,0.65
2560,300,3.50,8.70,6.70,2.90,5.20,4.60,7.80,0.95
1280,250,8.80,1.00,8.50,5.90,1.00,2.30,2.40,0.61
5760,250,4.20,4.60,0.60,2.30,3.10,0.00,7.40,0.58
6400,100,8.10,5.80,6.10,1.40,2.40,2.80,4.50,0.65
5120,150,7.40,9.80,4.30,1.90,3.50,4.30,9.40,0.96
3840,250,9.30,6.40,5.80,0.70,1.00,1.60,7.30,0.54
4480,250,0.10,8.90,2.00,0.00,8.30,0.70,3.50,1.00
1920,500,7.20,8.00,7.50,0.80,0.40,6.70,1.00,0.64
5760,400,7.90,4.10,7.40,5.70,4.10,1.30,3.10,0.56
2560,300,1.50,5.40,2.40,0.50,0.30,0.40,6.70,0.87
2560,200,9.90,3.90,6.80,1.30,2.90,1.90,3.90,0.70
